php高级工程师,红板凳科技股份有限公司,1.5-2.5万/月,北京-海淀区,5-7年经验,本科,招若干人,05-20发布,五险一金|餐饮补贴
PHP资深开发工程师,北京动因体育科技有限公司,2.5-3.5万/月,北京-朝阳区,5-7年经验,本科,招1人,05-20发布,五险一金|员工旅游|专业培训|年终奖金|绩效奖金|弹性工作
php高级讲师,北京八维研修学院,1.5-2.5万/月,北京-海淀区,3-4年经验,大专,招1人,05-20发布,五险一金|餐饮补贴|专业培训|绩效奖金|员工旅游
贴吧基础业务技术部_基础业务PHP研发工程师(职位编号：baidu018294),百度在线网络技术（北京）有限公司,2-5万/月,北京-海淀区,无工作经验,本科,招若干人,05-20发布,
高级Linux工程师（c/c++ 、php、python）,北京安德信业信息咨询有限责任公司,30-55万/年,北京,5-7年经验,本科,招2人,05-20发布,
PHP开发工程师(职位编号：18180),奇虎360科技有限公司,2-2.5万/月,北京,3-4年经验,本科,招1人,05-20发布,
php开发工程师,北京三行华拓科技发展有限公司,0.8-1万/月,北京-海淀区,2年经验,本科,招2人,05-20发布,周末双休|带薪年假|五险一金|绩效奖金|全勤奖|节日福利
PHP开发工程师,微博动漫,1.5-2.5万/月,北京-海淀区,3-4年经验,本科,招若干人,05-20发布,五险一金|餐饮补贴|弹性工作|定期体检|通讯补贴|补充医疗保险
PHP开发工程师,深圳市一里递商务科技有限公司,2-5万/月,北京-海淀区,3-4年经验,大专,招2人,05-20发布,
PHP高级架构师(职位编号：70295),联想集团,,北京,3-4年经验,本科,招若干人,05-20发布,
PHP开发工程师,北京创新在线网络技术有限公司,0.8-1.5万/月,北京-海淀区,3-4年经验,大专,招3人,05-20发布,做五休二|带薪年假|五险一金|节日福利|餐饮补贴|员工旅游|定期体检|补充医疗保险|弹性工作
PHP高级开发工程师,华夏出行有限公司,1.5-2.2万/月,北京-朝阳区,3-4年经验,大专,招1人,05-20发布,五险一金|交通补贴|餐饮补贴|通讯补贴|绩效奖金|年终奖金
PHP工程师-北京,北京同有飞骥科技股份有限公司,0.8-1.6万/月,北京-海淀区,2年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|免费班车|餐饮补贴|定期体检|股票期权|绩效奖金
Web测试工程师,软通动力信息技术（集团）有限公司,0.8-1.1万/月,北京,3-4年经验,本科,招1人,03-21发布,五险一金|弹性工作|定期体检|免费班车
