质量检验员/测试员,罗格朗(北京)电气有限公司,4.5-6千/月,北京,2年经验,中专,招1人,05-20发布,周末双休|带薪年假|五险一金|绩效奖金|节日福利|餐饮补贴|年度旅游|年度体检|住房补贴|专业培训
测试实习生(J10992),北京河狸家信息技术有限公司,3-4千/月,北京-朝阳区,无工作经验,本科,招3人,05-20发布,弹性工作|团队氛围好|发展空间|有导师带
测试工程师,北京博兴高科科技有限公司,0.6-1.2万/月,北京-西城区,2年经验,本科,招5人,05-20发布,五险一金|员工旅游|生日福利|年终奖金|弹性工作
软件测试工程师,北京飞音时代技术有限公司,0.5-1万/月,北京-石景山区,1年经验,本科,招2人,05-20发布,五险一金|年终奖金|定期体检|周末双休|节日福利
云平台测试（OpenStack）,纬创软件(北京),1-2万/月,北京-朝阳区,1年经验,本科,招2人,05-20发布,五险一金|补充医疗保险|定期体检|弹性工作|年终奖金|交通补贴|员工旅游
硬件测试工程师(职位编号：03),北京正芯源科技发展有限责任公司,0.8-1万/月,北京-海淀区,1年经验,中专,招2人,05-20发布,五险一金|餐饮补贴|弹性工作|定期体检|绩效奖金|员工旅游
测试工程师,北京炎黄新星网络科技有限公司,4.5-6千/月,北京-海淀区,无工作经验,本科,招2人,05-20发布,五险一金|餐饮补贴|定期体检|员工旅游|年终奖金
测试工程师,北京天睿空间科技股份有限公司,0.8-1万/月,北京-朝阳区,2年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|通讯补贴|绩效奖金|定期体检|弹性工作
配置管理工程师(PaaS/北京)(J12268),北京北森云计算股份有限公司,2-2.5万/月,北京-海淀区,无工作经验,本科,招1人,04-12发布,餐饮补贴|弹性工作
数据库管理员,北京礼遇商务有限公司,20000元/天,北京-大兴区,10年以上经验,本科,招2人,05-15发布,
大数据开发工程师-北京校招,精硕科技(北京)股份有限公司,1-1.5万/月,北京-海淀区,无工作经验,本科,招若干人,03-21发布,五险一金|补充医疗保险|餐饮补贴|定期体检|年终奖金|员工旅游|弹性工作
测试开发工程师J11311,北京北大方正电子有限公司,2-3千/月,南宁,无工作经验,本科,招5人,04-02发布,免费班车
测试开发工程师J11311,北京北大方正电子有限公司,2-3千/月,北京-海淀区,无工作经验,本科,招5人,04-02发布,"周末双休,|免费班车"
高级测试工程师,长久集团金融系统,1.5-2千/月,北京,3-4年经验,本科,招若干人,04-14发布,免费班车|五险一金|补充医疗保险|定期体检|免费食堂
销售主管,谱尼测试集团股份有限公司,1.5千以下/月,北京-海淀区,3-4年经验,大专,招1人,05-20发布,
Web测试工程师,软通动力信息技术（集团）有限公司,0.8-1.1万/月,北京,3-4年经验,本科,招1人,03-21发布,五险一金|弹性工作|定期体检|免费班车
Web平台测试,软通动力信息技术（集团）有限公司,7-9千/月,北京,无工作经验,本科,招1人,03-21发布,五险一金|弹性工作|定期体检|免费班车
接口测试,软通动力信息技术（集团）有限公司,7-9千/月,北京,无工作经验,本科,招1人,03-21发布,五险一金|弹性工作|定期体检|免费班车
银行测试工程师,软通动力信息技术（集团）有限公司,1-1.5万/月,北京,3-4年经验,大专,招10人,04-02发布,五险一金|弹性工作|定期体检|免费班车
嵌入式硬件工程师,北京聚利科技股份有限公司,4-8千/月,北京-昌平区,1年经验,本科,招若干人,05-20发布,五险一金|免费班车|绩效奖金|年终奖金|免费午餐|节日福利
高级fpga研发工程师,北京永新医疗设备有限公司,1.5-2.5万/年,北京-昌平区,2年经验,本科,招1人,05-20发布,五险一金|员工旅游|定期体检|周末双休|年终奖金
JAVA 软件工程师,北京华信瑞诚科技有限公司,1.5-2千/月,北京-海淀区,5-7年经验,本科,招3人,04-28发布,五险一金|专业培训|绩效奖金|年终奖金
基金会计,北京海峰科技有限责任公司,100元/天,北京-西城区,无工作经验,本科,招2人,04-29发布,
指导老师（北美项目部）(职位编号：xdf011475),北京新东方学校,120元/天,北京-海淀区,无工作经验,本科,招30人,04-29发布,
质控中心-高级质量工程师（发电机）J13347,金风科技-风机单元-质控中心,1.5-2万/月,北京,5-7年经验,本科,招1人,03-27发布,
CSIG16-质量评测研发工程师(职位编号：45148),深圳市腾讯计算机系统有限公司,,北京,5-7年经验,本科,招1人,03-27发布,
CSIG16-自动驾驶车厂合作BD(职位编号：44420),深圳市腾讯计算机系统有限公司,,北京,5-7年经验,本科,招1人,03-27发布,
MIG16-自动驾驶决策规划（北京）(职位编号：41282),深圳市腾讯计算机系统有限公司,,北京,3-4年经验,硕士,招2人,03-27发布,
电路设计研究员（标牌）(J19835),北京京东方显示技术有限公司,1-1.5万/月,北京-大兴区,2年经验,本科,招1人,03-25发布,
互联网保险系统开发岗位,杭州锐致商务咨询有限公司,1.2-2万/月,北京,2年经验,本科,招2人,03-26发布,节日福利|专业培训|五险一金|补充医疗保险|环境好|平台大
高级.NET开发工程师,北京国双科技有限公司,1-2万/月,北京,3-4年经验,本科,招若干人,03-26发布,补充医疗保险|员工旅游|餐饮补贴|通讯补贴|绩效奖金|年终奖金|健身俱乐部|节日福利|五险一金|带薪年假
嵌入式软件工程师(职位编号：007),博邦芳舟医疗科技（北京）有限公司,1.2-2.4万/月,北京-海淀区,3-4年经验,本科,招1人,03-26发布,五险一金|年终奖金|周末双休|过节费
封装与可靠性工艺工程师,联合微电子中心有限责任公司,15-30万/年,重庆-沙坪坝区,无工作经验,硕士,招3人,03-26发布,
