游戏广告客户经理-联盟广告(职位编号：35696),字节跳动,1.3-2.5万/月,北京,2年经验,本科,招2人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|过亿用户|职业大牛
高级游戏运营,北京雷霆万钧网络科技有限责任公司,6-8千/月,北京-东城区,3-4年经验,大专,招1人,05-20发布,五险一金|补充医疗保险|年终奖金|餐饮补贴|弹性工作|定期体检
游戏类中英、中日翻译,沈阳创思佳业科技有限公司,4.5-6千/月,沈阳,无工作经验,大专,招若干人,05-20发布,专业培训|弹性工作|绩效奖金
急招动漫游戏设计实习生 双休,北京众祥物业管理有限公司,4.5-6千/月,北京,无工作经验,中专,招若干人,05-20发布,五险一金|交通补贴|绩效奖金|弹性工作|定期体检|员工旅游|补充公积金
次世代游戏3D模型师,宁波曦技动画数码游戏有限公司,0.4-1万/月,北京-朝阳区,2年经验,大专,招6人,05-20发布,生日礼物|茶品零食|五险
Java游戏服务器,武汉牧望群网络科技有限公司,2-3万/月,武汉,2年经验,大专,招2人,05-20发布,五险一金|补充公积金|餐饮补贴|通讯补贴|出国机会|绩效奖金|年终奖金|弹性工作|交通补贴
游戏设计助理年底双薪,北京益深科技有限公司,4.5-6千/月,北京-海淀区,无工作经验,大专,招若干人,05-20发布,五险一金|交通补贴|补充医疗保险|免费班车|员工旅游|出国机会|定期体检|弹性工作|股票期权
游戏数值策划,北京银河星团网络科技有限公司,2-2.5万/月,北京-海淀区,3-4年经验,本科,招1人,05-20发布,五险一金|专业培训|绩效奖金|弹性工作|股票期权|定期体检|节日福利|扁平化管理|团队氛围好|定期团建
大客户经理（游戏行业）,传神语联网网络科技股份有限公司,30-50万/年,北京,2年经验,本科,招2人,05-20发布,六险一金|周末双休|交通补贴|通讯补贴|带薪年假|定期体检|节假日福利|生日礼金|每年多次调薪|弹性工作
游戏场景地编师,北京万维联动科技有限责任公司,4-8千/月,北京-朝阳区,无工作经验,大专,招1人,04-18发布,五险|弹性工作|绩效奖金|带薪年假|加班补助
会计,维格兰数码科技（北京）有限公司,6-8千/月,北京-大兴区,2年经验,大专,招1人,05-10发布,弹性工作|五险|带薪年假|绩效奖金
主播经纪人,河北力强文化传媒有限公司,1.5千以下/月,北京-西城区,3-4年经验,大专,招4人,03-29发布,五险一金|交通补贴|餐饮补贴|专业培训|绩效奖金
视频创意设计实习生,广州汇量信息科技有限公司,2-4千/月,北京-朝阳区,无工作经验,本科,招2人,04-01发布,弹性工作|周末双休|包三餐下午茶
（低幼中心）文字编辑,中国少年儿童新闻出版总社,0.8-1.2万/月,北京-朝阳区,2年经验,硕士,招6人,05-09发布,五险一金|餐饮补贴|绩效奖金|年终奖金|定期体检
游戏界面设计实习生+包住双休,北京汇隆科技发展有限公司,4.5-6千/月,北京-海淀区,无工作经验,中专,招若干人,05-20发布,五险一金|交通补贴|绩效奖金|年终奖金|股票期权|通讯补贴|弹性工作|专业培训
幼教,北京市昌平区星希望孤独症康复中心,5-8千/月,北京-昌平区,无工作经验,大专,招5人,05-06发布,绩效奖金|专业培训|五险一金
海外社区运营,游族网络,1-2万/月,上海-徐汇区,2年经验,本科,招1人,05-07发布,五险一金|员工旅游|餐饮补贴|专业培训|绩效奖金|定期体检
产品经理（互联网航空方向）,北京北纬通信科技股份有限公司,1.3-1.8万/月,北京,无工作经验,本科,招1人,03-26发布,
主美术(职位编号：gyyx000756),北京光宇在线科技有限责任公司,2.2-2.8万/月,北京,5-7年经验,大专,招若干人,03-26发布,五险一金|补充医疗保险|员工旅游|定期体检|年终奖金|绩效奖金|专业培训
资深3D动画师 (MJ000080),优奈柯恩（北京）科技有限公司,2-3万/月,北京-海淀区,无工作经验,本科,招1人,05-05发布,五险一金|出国机会|餐饮补贴|年终奖金|定期体检|股票期权
高级特效工程师 (MJ000052),优奈柯恩（北京）科技有限公司,2-4万/月,北京-海淀区,3-4年经验,本科,招1人,05-05发布,五险一金|出国机会|餐饮补贴|年终奖金|定期体检|股票期权
课程销售顾问,北京花香盛世国际体育文化发展有限公司,0.8-1万/月,北京-朝阳区,无工作经验,大专,招10人,05-04发布,五险一金|员工旅游|年终奖金|股票期权|绩效奖金|专业培训|定期体检
招聘主管（HR/Talent Acquisition）,北京品友互动信息技术股份公司,0.8-1.5万/月,北京-朝阳区,3-4年经验,本科,招1人,04-30发布,"五险一金|专业培训|绩效奖金|年终双薪|周末双休|带薪年假|节日福利|岗位晋升|住房补贴|,体检"
招聘主管（HR/Talent Acquisition）,北京品友互动信息技术股份公司,1-1.5万/月,北京-朝阳区,3-4年经验,本科,招2人,04-30发布,"五险一金|专业培训|绩效奖金|年终双薪|周末双休|带薪年假|节日福利|岗位晋升|住房补贴|,体检"
高级招聘经理（HR/Talent Acquisition Manager）,北京品友互动信息技术股份公司,1.5-3万/月,北京-朝阳区,5-7年经验,本科,招1人,04-30发布,"五险一金|专业培训|绩效奖金|年终双薪|周末双休|带薪年假|节日福利|岗位晋升|住房补贴|,体检"
媒介执行,东品西尚网络科技（北京）有限公司,3-7千/月,西安,无工作经验,本科,招2人,04-29发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金|弹性工作|定期体检|出国机会
