NLP算法工程师,中金智汇科技有限责任公司,1.5-3万/月,北京,1年经验,硕士,招1人,05-20发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|定期体检|绩效奖金
雷达算法工程师（实习生）,北京凌波微步信息技术有限公司,6-8千/月,北京-昌平区,无工作经验,本科,招1人,05-20发布,五险一金|绩效奖金|年终奖金|股票期权|弹性工作
资深算法工程师 - 效率工程(职位编号：35644),字节跳动,3-6万/月,北京,3-4年经验,本科,招5人,05-20发布,六险一金|高薪期权|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|职业大牛
网络算法工程师,北京通广龙电子科技有限公司,1-2万/月,北京-海淀区,1年经验,硕士,招2人,05-20发布,五险一金|免费班车|交通补贴|餐饮补贴|绩效奖金|年终奖金|定期体检|专业培训|无理由假|探亲假
电力系统高级算法工程师,北京煜邦电力技术股份有限公司,2.5-3.5万/月,北京,8-9年经验,本科,招1人,05-20发布,五险一金|年终奖金|餐饮补贴|交通补贴|绩效奖金|通讯补贴|弹性工作
算法工程师,北明智通（北京）科技有限公司,2-2.5万/月,北京,5-7年经验,硕士,招1人,05-20发布,带薪年假|通讯补贴|五险一金|补充医疗保险|节日福利|做五休二|弹性工作
图像算法工程师,北京蓝卡科技股份有限公司,1-2.5万/月,北京-海淀区,无工作经验,本科,招2人,05-20发布,五险一金|餐饮补贴|绩效奖金|年终奖金|定期体检|员工旅游
图像算法工程师,南京天数智芯科技有限公司,2-3万/月,北京,3-4年经验,硕士,招若干人,05-20发布,五险一金|补充医疗保险|弹性工作|定期体检|年终奖金|专业培训
算法工程师（AI方向）,北京富通东方科技有限公司,2-3万/月,北京-朝阳区,3-4年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|定期体检|餐饮补贴|节日福利
算法工程师,北京芯动联科微电子技术有限公司,10-30万/年,北京-海淀区,2年经验,硕士,招2人,05-20发布,
遥感算法工程师,武汉珈和科技有限公司,1-2万/月,北京-海淀区,1年经验,本科,招若干人,05-20发布,五险一金|弹性工作|专业培训|员工旅游|定期体检|年终奖金|股票期权|餐饮补贴|绩效奖金
软件算法工程师,北京迪文科技有限公司,2.5-3万/月,北京-海淀区,无工作经验,本科,招1人,05-20发布,五险一金|补充医疗保险|员工旅游|绩效奖金|定期体检
通信算法工程师,北京安德信业信息咨询有限责任公司,3-4万/月,北京-海淀区,无工作经验,本科,招1人,05-20发布,五险一金|员工旅游|绩效奖金|年终奖金
电商广告算法负责人(职位编号：34634),字节跳动,5-10万/月,北京,5-7年经验,本科,招2人,05-19发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|过亿用户|职业大牛|晋升空间
00161-微博机器学习团队——系统研发中高级工程师,新浪微博,5-8万/月,北京,3-4年经验,本科,招20人,05-17发布,五险一金|补充医疗保险|补充公积金|免费班车|交通补贴|年终奖金|绩效奖金|通讯补贴|专业培训|餐饮补贴
图像处理工程师,软通动力信息技术（集团）有限公司,0.9-1.4万/月,北京,2年经验,本科,招10人,04-15发布,五险一金|弹性工作|定期体检|免费班车
深度学习工程师-帝派,北京神州泰岳软件股份有限公司,1-1.5万/月,北京,2年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|餐饮补贴|定期体检
3D渲染开发工程师,北京妙趣横生网络科技有限公司,20-45万/年,北京-朝阳区,3-4年经验,本科,招1人,05-20发布,
FTL开发工程师,记忆科技（深圳）有限公司,15-40万/年,北京-海淀区,1年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|员工旅游|专业培训|通讯补贴|餐饮补贴|绩效奖金|弹性工作|定期体检|年终奖金
图像算法专家（人脸识别）,北京风影车讯科技有限公司,0.8-2万/月,北京-海淀区,5-7年经验,硕士,招2人,05-20发布,五险一金|绩效奖金|年终奖金
高级算法开发工程师,记忆科技（深圳）有限公司,30-40万/年,北京-海淀区,3-4年经验,本科,招1人,05-20发布,五险一金|餐饮补贴|弹性工作|定期体检|通讯补贴|补充医疗保险|专业培训|补充公积金|绩效奖金
高级软件开发工程师/专家(J190410004)(职位编号：J190410004),滴滴,3-4万/月,北京-海淀区,3-4年经验,本科,招1人,05-20发布,
高级Java工程师（算法后端方向）,北京富通东方科技有限公司,1.5-2.5万/月,北京-朝阳区,5-7年经验,本科,招2人,05-20发布,五险一金|补充医疗保险|定期体检|餐饮补贴|节日福利
C++软件工程师,凌云光技术集团工业视觉事业部,2.5-4万/月,北京-海淀区,1年经验,硕士,招1人,05-20发布,补充医疗保险|免费班车|年终奖金|股票期权
2D/3D人脸识别算法工程师,中国科学院自动化研究所,20-50万/年,北京-海淀区,无工作经验,硕士,招2人,04-07发布,
召回排序方向负责人(职位编号：34632),字节跳动,5-10万/月,北京,5-7年经验,本科,招2人,05-19发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|过亿用户|职业大牛|晋升空间
知识图谱算法专家,广州小鹏汽车科技有限公司,2-5万/月,北京-海淀区,5-7年经验,硕士,招5人,05-20发布,年终奖金|餐饮补贴|弹性工作|五险一金
R语言数据分析师,北京赛思天成科技有限责任公司,0.8-1.6万/月,北京,1年经验,本科,招3人,05-17发布,免费班车|员工旅游|交通补贴|年终奖金|通讯补贴|餐饮补贴|定期体检|五险一金
国企 震动声学算法研发工程师,北京市精诚兴信息有限责任公司,0.8-1.2万/月,北京-海淀区,无工作经验,硕士,招3人,05-16发布,做五休二|节日福利|年终奖金|五险一金|补充医疗保险
数据分析师,北京必可测科技股份有限公司,1-2万/月,石家庄,3-4年经验,本科,招4人,05-05发布,五险一金|通讯补贴|专业培训|年终奖金|定期体检
算法实习生 - 抖音短视频(职位编号：27823),字节跳动,6-8千/月,北京,无工作经验,本科,招5人,05-20发布,免费三餐|休闲下午茶|扁平管理|过亿用户|职业大牛|晋升空间|团队氛围好
数据处理工程师,北京中环信科科技股份有限公司,1-1.5万/月,北京,2年经验,本科,招1人,05-20发布,五险一金|餐饮补贴|弹性工作
姿态估算算法负责人,广州笨笨网络科技有限公司,3-4万/月,北京-海淀区,5-7年经验,硕士,招1人,05-20发布,五险一金|补充医疗保险|员工旅游|周末双休|年终奖金
智能问诊-医学产品经理 (MJ003020),北京搜狗科技发展有限公司,1.5-3万/月,北京-海淀区,无工作经验,本科,招1人,05-20发布,五险一金|餐饮补贴|补充医疗保险|弹性工作|绩效奖金
搜狗输入法-资深自然语言研究员-北京-01993,北京搜狗科技发展有限公司,2.5-5万/月,北京-海淀区,3-4年经验,硕士,招1人,05-20发布,五险一金|补充医疗保险|餐饮补贴
智能语音-机器翻译研究员,北京搜狗科技发展有限公司,2.5-4.5万/月,北京-海淀区,3-4年经验,硕士,招2人,05-20发布,五险一金|补充医疗保险|定期体检|弹性工作|年终奖金|餐饮补贴
智能语音-数据挖掘研究员-北京-02334,北京搜狗科技发展有限公司,2-4万/月,北京-海淀区,2年经验,硕士,招1人,05-20发布,五险一金|补充医疗保险|定期体检|弹性工作|年终奖金|餐饮补贴
搜狗输入法-自然语言处理研发工程师-北京-02200,北京搜狗科技发展有限公司,2-4万/月,北京-海淀区,2年经验,硕士,招2人,05-20发布,五险一金|补充医疗保险|定期体检|弹性工作|年终奖金|餐饮补贴
雷达算法优化实习生,北醒（北京）光子科技有限公司,3-5千/月,北京-海淀区,无工作经验,硕士,招2人,05-20发布,五险一金|补充医疗保险|通讯补贴|专业培训|绩效奖金|年终奖金|股票期权|定期体检
商业策略研究-广告算法研究员 (MJ001950),北京搜狗科技发展有限公司,2.5-5万/月,北京-海淀区,3-4年经验,硕士,招2人,05-20发布,五险一金|补充医疗保险|餐饮补贴
图形图像算法工程师,字节跳动,2.5-5万/月,北京,3-4年经验,本科,招3人,05-20发布,高薪期权|弹性工作|租房补贴|过亿用户|职业大牛
NLP算法工程师 - 算法平台,字节跳动,2.5-5万/月,北京,2年经验,本科,招3人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理
NLP算法工程师 - 审核业务,字节跳动,2.5-5万/月,北京,2年经验,本科,招3人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理
NLP算法工程师 - 国际化,字节跳动,2.5-5万/月,北京,2年经验,本科,招3人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理
音效处理算法工程师(职位编号：14711),字节跳动,2.5-5万/月,北京,3-4年经验,本科,招5人,05-20发布,租房补贴|扁平管理|职业大牛|团队氛围好
推荐算法工程师(职位编号：16076),字节跳动,2.5-5万/月,北京,3-4年经验,本科,招1人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴
高级算法工程师(职位编号：16074),字节跳动,2.5-5万/月,北京,3-4年经验,本科,招1人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴
NLP算法工程师 - 内容质量,字节跳动,2.5-5万/月,北京,2年经验,本科,招3人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理
声纹识别算法工程师（VPR）,北京捷通华声科技股份有限公司,2-4万/月,北京,1年经验,硕士,招5人,05-20发布,五险一金|绩效奖金|晋升空间大|项目奖金|每年多次调薪
深度学习算法工程师 (MJ000208),北京推想科技有限公司,2-4万/月,北京-朝阳区,2年经验,硕士,招2人,05-20发布,五险一金|餐饮补贴|绩效奖金|年终奖金|弹性工作|专业培训
自然语言理解算法工程师（文本问答和对话QA）,北京捷通华声科技股份有限公司,2-4万/月,北京,1年经验,硕士,招1人,05-20发布,五险一金|绩效奖金|项目奖金|晋升空间大|每年多次调薪
资深前端图像算法工程师（PACS前端开发） (MJ000165),北京推想科技有限公司,1.5-3万/月,北京-朝阳区,5-7年经验,本科,招3人,05-20发布,五险一金|餐饮补贴|绩效奖金|年终奖金|弹性工作|专业培训
图像算法工程师 (MJ000183),北京推想科技有限公司,1.5-3万/月,北京-朝阳区,3-4年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|绩效奖金|年终奖金|弹性工作|专业培训
文本大数据分析算法工程师（BDA）,北京捷通华声科技股份有限公司,2-4万/月,北京,1年经验,硕士,招1人,05-20发布,五险一金|绩效奖金|晋升空间大|项目奖金|每年多次调薪
人脸识别算法工程师（AFR）,北京捷通华声科技股份有限公司,2-4万/月,北京,1年经验,硕士,招3人,05-20发布,五险一金|绩效奖金|晋升空间大|项目奖金|每年多次调薪
语音信号处理算法工程师（SSP),北京捷通华声科技股份有限公司,2-4万/月,北京,1年经验,硕士,招1人,05-20发布,五险一金|绩效奖金|晋升空间大|项目奖金|每年多次调薪
