基础设备运维岗(职位编号：D12189),深圳天源迪科信息技术股份有限公司北京办事处,0.6-1.2万/月,北京-昌平区|2年经验|本科|招2人|05-18发布,五险一金|绩效奖金|年终奖金|股票期权|弹性工作|定期体检|上市公司
运维实施项目工程师,中数通信息有限公司,0.8-1.2万/月,北京-海淀区|2年经验|本科|招1人|05-18发布,五险一金|餐饮补贴|绩效奖金|年终奖金|定期体检|通讯补贴|驻外补贴|专业培训|交通补贴
ERP/用友NC 运维,顺景发控股集团,6-9千/月,北京-通州区|无工作经验|招2人|05-18发布,免费班车|专业培训|通讯补贴|节日福利|带薪年假|缴纳五险|工作日餐
容器云运维工程师,扬州万方电子技术有限责任公司,1.5-2万/月,北京-海淀区|2年经验|本科|招2人|05-18发布,五险一金|员工旅游|餐饮补贴|年终奖金|周末双休|交通补贴|带薪年假|节假日福利
桌面运维 Helpdesk,太古地产（中国）投资有限公司,4.5-6千/月,北京-朝阳区|2年经验|大专|招1人|05-18发布,五险一金|补充医疗保险|通讯补贴|年终奖金|定期体检
openstack运维工程师-北京-00201,凯美瑞德（苏州）信息科技股份有限公司,0.7-1.2万/月,北京|2年经验|招若干人|05-18发布,五险一金|餐饮补贴|弹性工作|绩效奖金|年终奖金
外资学校运维工程师,上海逾仕计算机技术有限公司,7-8千/月,北京|无工作经验|招3人|05-18发布,周末双休|五险一金|全勤奖|带薪年假|绩效奖金
运维工程师,深圳市泓健体育文化有限公司,6-8千/月,北京-海淀区|1年经验|大专|招2人|05-18发布,
桌面运维工程师,北京北信志博科技有限公司,4.5-6千/月,北京-朝阳区|无工作经验|招8人|05-18发布,五险一金|周末双休
网络管理员/IT运维工程师,昂坤视觉（北京）科技有限公司,5-8千/月,北京-昌平区|无工作经验|大专|招1人|05-18发布,五险一金|定期体检|年终奖金|员工旅游|带薪年假
系统运维工程师（六险一金）(J11761),北京华宇信息技术有限公司,0.8-1万/月,北京|1年经验|本科|招若干人|05-18发布,补充医疗保险|餐饮补贴|专业培训|年终奖金|定期体检|周末双休|弹性工作|绩效奖金|六险一金|住房补贴
高级系统运维工程师,北京雷霆万钧网络科技有限责任公司,1-1.5万/月,北京-东城区|3-4年经验|大专|招1人|05-18发布,五险一金|补充医疗保险|餐饮补贴|弹性工作|定期体检
运维工程师（大数据项目）,北京久其软件股份有限公司,0.7-1万/月,北京-西城区|1年经验|本科|招1人|05-18发布,五险一金|员工旅游|餐饮补贴|年终奖金|定期体检
高级运维工程师,北京爱农驿站科技服务有限公司,1-2万/月,北京-西城区|3-4年经验|本科|招1人|05-18发布,五险一金|交通补贴|弹性工作|定期体检|绩效奖金|年终奖金|餐饮补贴|员工旅游
售后运维工程师,北京万通兴业科技发展有限公司,4-8千/月,北京-昌平区|1年经验|中专|招3人|05-18发布,五险一金|员工旅游|交通补贴|年终奖金|绩效奖金|通讯补贴|定期体检|餐饮补贴
运维顾问（财务）,普联软件股份有限公司,0.7-1万/月,北京-东城区|2年经验|大专|招10人|05-18发布,五险一金|补充医疗保险|定期体检|通讯补贴|企业年金|带薪年假
ERP技术顾问,软通动力信息技术（集团）有限公司,1-1.8万/月,北京|3-4年经验|大专|招1人|03-22发布,五险一金|弹性工作|定期体检|免费班车
产品经理,软通动力信息技术（集团）有限公司,1-1.5万/月,北京|3-4年经验|本科|招1人|03-24发布,五险一金|弹性工作|定期体检|免费班车
产品经理,软通动力信息技术（集团）有限公司,1-1.3万/月,北京|3-4年经验|本科|招2人|03-24发布,五险一金|弹性工作|定期体检|免费班车
网络工程师,北京金日恒升科技有限公司,6-8千/月,北京-大兴区|2年经验|本科|招1人|04-11发布,周末双休|节日福利|餐饮补贴|五险一金|通讯补贴|绩效奖金|员工旅游
销售经理（内部直招）,软通动力信息技术（集团）有限公司,1.2-2.5万/月,北京|5-7年经验|大专|招1人|04-02发布,五险一金|弹性工作|定期体检|免费班车
大数据技术经理 JR,北京明略软件系统有限公司,2-4万/月,北京-海淀区|10年以上经验|本科|招1人|04-08发布,五险一金|补充医疗保险|员工旅游|绩效奖金|年终奖金|股票期权|专业培训|餐饮补贴|弹性工作
大数据开发工程师,北京明略软件系统有限公司,2.8-3.5万/月,北京-海淀区|无工作经验|本科|招3人|04-08发布,五险一金|补充医疗保险|专业培训|年终奖金|股票期权
资深前端开发工程师  （互联网）(J19760),京东方科技集团股份有限公司,1.5-3万/月,北京-大兴区|8-9年经验|本科|招1人|04-03发布,
高级前端开发工程师（互联网）(J19759),京东方科技集团股份有限公司,1.5-3万/月,北京-大兴区|5-7年经验|本科|招1人|04-03发布,
电气自动化工程师,北京中科锐智电气有限公司,5-8千/月,北京-海淀区|3-4年经验|大专|招3人|04-02发布|电气工程及其自动化 机械工程及自动化,五险一金|交通补贴|餐饮补贴|通讯补贴|定期体检|年终奖金|专业培训|员工旅游
机房组长,金石易服（北京）科技有限公司,0.6-1万/月,北京-大兴区|3-4年经验|大专|招1人|04-02发布,五险一金|定期体检|员工旅游
智能合约研发工程师,中宜云控互联网科技股份有限公司,3-5万/月,北京-海淀区|3-4年经验|本科|招1人|04-02发布,五险一金|交通补贴|餐饮补贴|绩效奖金
区块链智能合约研发工程师,中宜云控互联网科技股份有限公司,3-5万/月,北京-海淀区|3-4年经验|本科|招1人|04-02发布,五险一金|交通补贴|餐饮补贴|绩效奖金
支付平台研发工程师,中宜云控互联网科技股份有限公司,1.5-2.5万/月,北京-海淀区|3-4年经验|本科|招1人|04-02发布,五险一金|交通补贴|餐饮补贴|绩效奖金
集成售前工程师,北京富通东方科技有限公司,1-1.5万/月,北京-朝阳区|无工作经验|本科|招1人|04-02发布,五险一金|补充医疗保险|定期体检|餐饮补贴|做五休二|周末双休|带薪年假|绩效奖金|节日福利
JAVA开发工程师（OA）,北京北大方正电子有限公司,0.8-1万/月,北京-海淀区|无工作经验|招1人|04-02发布,"免费班车,|周末双休"
