产品经理,新华人寿保险股份有限公司西安市长安路支公司,1-1.5万/月,西安,3-4年经验,高中,招若干人,05-20发布,
智能监控产品经理(J11510),广东坚朗五金制品股份有限公司,1-1.5万/月,西安-长安区,2年经验,大专,招2人,05-20发布,专业培训|节日福利|餐饮补贴|绩效奖金|带薪年假|包住宿|五险一金|高温补贴|加班补贴|住房补贴
产品经理,陕西图灵教育科技有限公司,10-15万/年,西安,3-4年经验,本科,招1人,05-20发布,
互联网产品经理,重庆睿景信息技术有限公司,0.8-1.5万/月,重庆-九龙坡区,2年经验,本科,招2人,05-20发布,五险一金|员工旅游|交通补贴|餐饮补贴
产品经理,西安米旗食品有限公司,4-6千/月,西安-经济技术开发区,2年经验,本科,招1人,05-20发布,免费班车|员工旅游|绩效奖金|年终奖金|专业培训|餐饮补贴
学术推广（产品经理）,陕西方舟制药有限公司,4-5千/月,西安,无工作经验,本科,招1人,05-20发布,五险一金|周末双休|绩效奖金|定期体检|餐饮补贴
银行大堂产品经理,陕西大明五洲科技有限公司,3-6千/月,西安-雁塔区,无工作经验,中专,招10人,05-20发布,绩效奖金|专业培训|社保
高级保险产品经理,新华人寿保险股份有限公司西安市未央支公司,1-3万/月,西安-未央区,无工作经验,大专,招若干人,05-20发布,补充医疗保险|员工旅游|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
产品经理,广州优孚欧智能科技有限公司,6-8千/月,西安-高新技术产业开发区,2年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|弹性工作|交通补贴|绩效奖金
互联网产品经理,弘毅优安不动产,6-8千/月,西安-高新技术产业开发区,2年经验,本科,招1人,05-20发布,专业培训|节日福利|生日福利|带薪年假|高温补贴|不加班|定期团建|创业公司|绩效奖金|大牛带队
高级产品经理,云积分科技有限公司,0.8-1.5万/月,西安-雁塔区,2年经验,本科,招1人,05-20发布,五险一金|股票期权|绩效奖金|周末双休
产品经理-存储行业,西安奥卡云数据科技有限公司,1.5-2万/月,西安-西咸新区,5-7年经验,本科,招1人,05-20发布,
Android开发工程师,西安神交科技有限公司,2-5万/月,西安-曲江文化新区,3-4年经验,本科,招2人,04-03发布,带薪年假|五险一金|绩效奖金|节日福利|专业培训
投资/理财服务 双休每天2小时中国平安,中国平安人寿保险股份有限公司陕西分公司,1-1.5万/月,西安-未央区,3-4年经验,大专,招3人,05-14发布,周末双休|补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
双休+客户专员 储备干部,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,2年经验,大专,招7人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
个险营销部主管(职位编号：035),中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,3-4年经验,大专,招8人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
理财经理(职位编号：029),中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,2年经验,大专,招6人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
综合金融客户经理(职位编号：015),中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,2年经验,大专,招6人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
综合金融经理/销售主管,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,3-4年经验,大专,招8人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
理财经理,中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,3-4年经验,大专,招6人,05-14发布,补充医疗保险|绩效奖金|年终奖金|弹性工作|专业培训|出国机会|补充公积金|员工旅游
客户经理 +月薪过万,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,3-4年经验,大专,招8人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
综合金融经理 (银行 保险 证券 贷款 房产 汽车金融),中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,3-4年经验,大专,招8人,05-14发布,周末双休|弹性工作|专业培训|节日福利|全勤奖|绩效奖金
综合金融客户经理，保险，银行，投资,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,3-4年经验,大专,招10人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
高级理财规划师（重点培养）,中国平安人寿保险股份有限公司陕西分公司,1.5-2万/月,西安-未央区,3-4年经验,大专,招3人,05-07发布,补充医疗保险|补充公积金|员工旅游|专业培训|出国机会|绩效奖金|年终奖金|弹性工作|定期体检
鹏程综合业务主管（双休 ）(职位编号：034),中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,3-4年经验,大专,招8人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
理财规划 世界500强寿险顾问,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,3-4年经验,大专,招10人,05-14发布,补充医疗保险|补充公积金|员工旅游|出国机会|专业培训|弹性工作|年终奖金|绩效奖金
优才培养计划/金融保险业务主任,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
诚聘实习生+五险+双休可签3方,中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,无工作经验,高中,招5人,04-20发布,
中国平安西北总部直招19届实习生,中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,无工作经验,高中,招5人,04-20发布,
金融销售代表,中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,无工作经验,高中,招5人,04-20发布,
储备经理人,中国平安人寿保险股份有限公司陕西分公司,1-1.5万/月,西安-未央区,3-4年经验,本科,招3人,04-20发布,
500强企业金融客户经理,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
销售代表（底薪+绩效）,中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
金融+保险销售代表,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
平安综合金融客户,中国平安人寿保险股份有限公司陕西分公司,6-8千/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
综合金融客户经理,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
中国平安集团高薪诚聘销售总监,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
平安30年鹏程新三秦 一年做主管,中国平安人寿保险股份有限公司陕西分公司,0.8-1万/月,西安-未央区,无工作经验,大专,招5人,04-20发布,
