电商运营专员,西安中沥电子商务有限公司,4.5-6千/月,西安-莲湖区,1年经验,本科,招2人,05-20发布,餐饮补贴|通讯补贴|定期体检|高温补贴|带薪年假|节日福利|五险一金
链家运营管培生,陕西贝壳闹海房地产经纪有限公司,0.8-1万/月,西安-雁塔区,无工作经验,大专,招7人,05-20发布,
零售运营经理（西安）,上海纳薇服装设计有限公司,6-8千/月,西安-雁塔区,3-4年经验,大专,招1人,05-20发布,带薪年假|五险一金|节日福利|做五休二|餐饮补贴
京东自营店运营,西安乐来网络科技有限公司,0.7-1.1万/月,西安-雁塔区,1年经验,大专,招1人,05-20发布,做五休二|弹性工作|带薪年假|绩效奖金|节日福利|专业培训|交通补贴|加班补贴|餐饮补贴|五险
运营管理专员(031175)(职位编号：Hanergy031175),汉能移动能源控股集团有限公司,4.5-6千/月,西安-高新技术产业开发区,3-4年经验,本科,招1人,05-20发布,
微博抖音运营,陕西盛腾美巢家装设计有限公司,4.5-6千/月,西安-碑林区,1年经验,大专,招1人,05-20发布,五险一金|绩效奖金|员工旅游
媒体运营主管,新华人寿保险股份有限公司西安市长安路支公司,1.5-2万/月,西安,3-4年经验,高中,招若干人,05-20发布,
地产工程副总/工程总监/工程经理,西安智人网络科技有限公司,100万以上/年,西安-高新技术产业开发区,10年以上经验,本科,招若干人,05-20发布,五险一金|补充医疗保险|补充公积金|员工旅游|专业培训|出国机会|绩效奖金|年终奖金|弹性工作
产品经理助理,游久游戏,2.5-6千/月,西安-高新技术产业开发区,2年经验,大专,招1人,05-16发布,五险一金|补充公积金|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金|弹性工作|定期体检|通讯补贴
酒店管理,成都量子互娱文化传播有限公司,15-20万/年,西安-碑林区,5-7年经验,大专,招1人,04-01发布,五险一金|弹性工作|通讯补贴|交通补贴|定期体检|带薪年假|周末双休|带薪病假
新媒体实习生,陕西蓝装网络科技有限公司/大型展会公司,4-6千/月,西安,无工作经验,大专,招1人,04-02发布,五险一金|员工旅游|专业培训|出国机会|绩效奖金|年终奖金
物业项目经理,某大型国有控股企业,1-1.5万/月,西安,3-4年经验,大专,招1人,04-02发布,带薪年假|节日福利|绩效奖金|做五休二|餐饮补贴|通讯补贴|交通补贴
物业工程经理,某大型国有控股企业,4.5-6千/月,西安-新城区,3-4年经验,大专,招1人,04-02发布,五险一金|交通补贴|餐饮补贴|通讯补贴|绩效奖金|年终奖金|定期体检|专业培训
销售总监,神州数码系统集成服务有限公司西安分公司,1-2万/月,西安,8-9年经验,本科,招若干人,04-02发布,五险一金|补充医疗保险|免费班车|通讯补贴|年终奖金|弹性工作|定期体检
拓展主管,西安鑫苑大都汇商业管理有限公司,4.5-6千/月,西安,2年经验,大专,招若干人,04-02发布,五险一金|专业培训|餐饮补贴|定期体检|年终奖金|员工旅游
营运经理,西安鑫苑大都汇商业管理有限公司,7-9千/月,西安,3-4年经验,本科,招1人,04-02发布,五险一金|餐饮补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
人事行政专员(职位编号：012),西安天辰优创科技有限公司,3-4.5千/月,西安-国家民用航天产业基地,1年经验,大专,招1人,03-26发布,周末双休|弹性工作|带薪年假|五险一金|绩效奖金|全勤奖|节日福利|专业培训|交通补贴|通讯补贴
市场开发经理,新奥燃气控股有限公司,0.3-1.5万/月,西安,2年经验,大专,招3人,04-01发布,
模式研究员,西安美齐电子商务有限公司,4-8千/月,西安-未央区,3-4年经验,大专,招1人,04-01发布,五险一金|周末双休|弹性工作|员工宿舍|绩效奖金|员工旅游
链家地产运营管培生实习生,西安链家总部,2万以下/年,西安-雁塔区,无工作经验,大专,招10人,05-19发布,五险一金|员工旅游|定期体检|绩效奖金
总经理（商业运营公司）,陕西国润投资管理集团有限公司,100万以上/年,西安-西咸新区,10年以上经验,本科,招1人,05-20发布,五险一金|餐饮补贴|通讯补贴|绩效奖金|定期体检
运营总监,西安沛泽企业管理咨询有限公司,2-3千/月,西安-雁塔区,10年以上经验,大专,招2人,05-20发布,
运营总监,新华人寿保险股份有限公司西安市雁塔支公司,5-7万/月,西安-雁塔区,3-4年经验,大专,招1人,05-20发布,补充医疗保险|员工旅游|专业培训|绩效奖金|出国机会|定期体检|弹性工作|年终奖金
运营总监（特许经营大事业部）,积木家（原蘑菇装修）,1.5-2千/月,西安-未央区,3-4年经验,大专,招3人,05-20发布,五险一金|餐饮补贴|绩效奖金
中国平安集团直招19届实习生,中国平安人寿保险股份有限公司陕西分公司,4.5-6千/月,西安-雁塔区,无工作经验,大专,招6人,04-16发布,五险一金|补充公积金|免费班车|定期体检|绩效奖金|专业培训|补充医疗保险|弹性工作
