{'content': '这个东西确实好，下次还买', 'productId': '37603225476'}
{'content': '喝起来味道也不错，看起来也挺好的，五星好评?', 'productId': '37603225476'}
{'content': '包装非常满意，商品不错哦', 'productId': '37603225476'}
{'content': '还可以吧，喜欢喝花草茶，第一次买这家的产品，物流有点慢性价比还可以吧！', 'productId': '37603225476'}
{'content': '刚刚收到，感觉非常好，包装精美，还没品尝，品尝过后再评价，感谢商家送的小礼物，感谢?', 'productId': '37603225476'}
{'content': '非常好喝，有一股中药的味道，放点冰糖，甜甜的，对嗓子有好处，下次还买', 'productId': '37603225476'}
{'content': '货已收到物流快，罗汉果花对咽喉有利，货到就泡水了喝了，味道清甜，口留余香。', 'productId': '37603225476'}
{'content': '已到货，尚未品尝，看着不错', 'productId': '37603225476'}
{'content': '很好喝 不错 下次还可以再买', 'productId': '37603225476'}
{'content': '货已收到，罗汉果花颜色好看，口感良好，下次还会光临贵店。', 'productId': '37603225476'}
{'content': '玫瑰花茶内包装很漂亮，玫瑰花是用瓶子单独装的，打开后有淡淡的玫瑰香气，泡好后花瓣会慢慢褪色，茶水是淡黄色，味道也是淡淡的玫瑰花香味，美容养颜，准备再购买一盒送给妈妈', 'productId': '25413276248'}
{'content': '礼盒很精美，里面都是用小玻璃瓶独立包装的，感觉好文艺。这个玫瑰花打开后很香，浓郁的玫瑰香味，泡起开@的一朵，如果配上透明玻璃杯就更仙了', 'productId': '25413276248'}
{'content': '这款玫瑰花非常的好，闻起来非常的清香，喝着感觉滋味也很好，而且拆开后也挺完整的，听说会祛斑，不知道有没有效果。最关键的是泡了之后非常美哦，有颜值。', 'productId': '25413276248'}
{'content': '外观精美，打开立马能闻到一股清香，还没有泡来品尝，不知道口感咋样，看起来感觉还是蛮不错的，等泡来品味过再来追评 一朵可以泡一大杯子 而且是很好喝的哦 也不苦 味道很香 给老妈又买来一个', 'productId': '25413276248'}
{'content': '花香浓郁，没有添加香料，花型完整，可以泡三次以上水，就是花朵小点，东西还是很不错的,礼盒包装，下次可以再入手，给朋友赠送一盒，女人就是要喝玫瑰花茶可以美容养颜', 'productId': '25413276248'}
