策略算法负责人,3-5年,硕士,全职,D轮及以上,北京,40k-80k,快手
JAVA高级开发工程师-北京,5-10年,本科,全职,上市公司,北京,30k-45k,美团点评
恋着吗app：红娘,不限,本科,全职,天使轮,北京,5k-10k,抖陌
高级招聘专员,3-5年,本科,全职,A轮,北京,10k-15k,三节课
游戏测试,不限,不限,全职,A轮,北京,4k-8k,动视云科技
PMO（项目管理经理）,3-5年,本科,全职,上市公司,北京,15k-25k,好未来
资深产品经理,3-5年,本科,全职,C轮,北京,20k-40k,最右
高级前端工程师,3-5年,本科,全职,C轮,北京,20k-40k,比邻弘科
PR经理,1-3年,大专,全职,B轮,北京,8k-10k,悟空租车
c#,5-10年,不限,全职,天使轮,北京,15k-30k,速威
前端开发angular(实习生,应届生),不限,大专,全职,A轮,北京,2k-4k,景通科信
管培生（运营）,应届毕业生,本科,全职,B轮,北京,8k-16k,会小二网
算法专家,3-5年,本科,全职,未融资,北京,50k-100k,深圳品印香舍进出口贸易有限公司
HRBP,3-5年,本科,全职,C轮,北京,15k-20k,车托帮
客服专员,1-3年,大专,全职,B轮,北京,5k-8k,玩吧
运营经理,3-5年,本科,全职,B轮,北京,15k-30k,美篇
Android资深工程师,3-5年,不限,全职,不需要融资,北京,15k-25k,凤凰网房产
人事/HR实习生,应届毕业生,不限,全职,A轮,北京,2k-4k,小肚皮App
行政文秘,3-5年,不限,全职,未融资,北京,10k-15k,中教华影
运维专家,5-10年,本科,全职,C轮,北京,35k-50k,传智播客
业务线技术Leader（Java背景）,5-10年,本科,全职,B轮,北京,25k-45k,大圣互动
高级python后端工程师,3-5年,本科,全职,B轮,北京,20k-35k,合心科技
AVG内容主编,3-5年,不限,全职,B轮,北京,12k-20k,阿基米游
用户运营（管培生）,1年以下,本科,全职,B轮,北京,8k-16k,会小二网
高级产品经理,5-10年,不限,全职,A轮,北京,15k-25k,动视云科技
用户/内容运营-【商业化】,1-3年,本科,全职,D轮及以上,北京,20k-30k,快手
PMO（项目管理经理）,3-5年,本科,全职,上市公司,北京,15k-25k,好未来
资深产品经理,3-5年,本科,全职,C轮,北京,20k-40k,最右
高级前端工程师,3-5年,本科,全职,C轮,北京,20k-40k,比邻弘科
PR经理,1-3年,大专,全职,B轮,北京,8k-10k,悟空租车
推荐算法,3-5年,硕士,全职,B轮,北京,50k-100k,美篇
PHP高级经理/总监,5-10年,本科,全职,不需要融资,北京,20k-40k,凤凰网房产
行政,应届毕业生,不限,全职,A轮,北京,2k-4k,小肚皮App
内容管理岗（内容建设）,5-10年,本科,全职,未融资,北京,12k-15k,中教华影
数据分析师,1-3年,本科,全职,B轮,北京,10k-20k,大圣互动
自然语言处理算法工程师,1-3年,本科,全职,B轮,北京,20k-40k,合心科技
市场推广,3-5年,本科,全职,B轮,北京,10k-20k,阿基米游
管培生,应届毕业生,本科,全职,B轮,北京,8k-16k,会小二网
运维开发,3-5年,本科,全职,A轮,北京,8k-16k,动视云科技
c#,5-10年,不限,全职,天使轮,北京,15k-30k,速威
高级/资深产品经理,3-5年,本科,全职,C轮,北京,20k-40k,最右
运维工程师,3-5年,不限,全职,A轮,北京,13k-18k,景通科信
算法专家,3-5年,本科,全职,未融资,北京,50k-100k,深圳品印香舍进出口贸易有限公司
HRBP,3-5年,本科,全职,C轮,北京,15k-20k,车托帮
客服专员,1-3年,大专,全职,B轮,北京,5k-8k,玩吧
PHP工程师-爬虫,3-5年,本科,全职,B轮,北京,20k-40k,美篇
PHP高级开发工程师,5-10年,本科,全职,不需要融资,北京,20k-30k,凤凰网房产
JAVA/Android,1-3年,本科,全职,A轮,北京,10k-20k,小肚皮App
前端开发工程师,1-3年,本科,全职,未融资,北京,13k-18k,中教华影
高级产品运营,3-5年,本科,全职,B轮,北京,15k-25k,大圣互动
图像算法工程师,1-3年,本科,全职,B轮,北京,20k-40k,合心科技
linux运维,5-10年,不限,全职,A轮,北京,10k-18k,动视云科技
销售,不限,大专,全职,A轮,北京,8k-10k,景通科信
管培生（运营）,应届毕业生,本科,全职,B轮,北京,8k-16k,会小二网
架构师/Java,3-5年,本科,全职,未融资,北京,50k-100k,深圳品印香舍进出口贸易有限公司
内容部总经理,5-10年,本科,全职,C轮,北京,50k-80k,车托帮
平面设计师,1-3年,不限,全职,未融资,北京,4k-8k,七色鸟餐饮品牌设计公司
付费内容策划实习生-北京-00193,应届毕业生,本科,全职,B轮,北京,3k-5k,年糕妈妈
商业化产品运营经理-海外,1-3年,本科,全职,上市公司,北京,20k-40k,触宝
