数据分析开发工程师,3-5年,本科,全职,未融资,西安,8k-10k,讯格软件
前端工程师,3-5年,大专,全职,未融资,西安,8k-14k,西安朗晟法律服务有限公司
产品经理,1-3年,大专,全职,未融资,西安,4k-6k,风火轮
人事经理,3-5年,大专,全职,上市公司,西安,10k-15k,新华保险
高级Java开发工程师,5-10年,本科,全职,不需要融资,西安,12k-20k,西安天文双子软件科技有限公司
销售顾问,不限,不限,全职,C轮,西安,5k-10k,车轮
数据可视化,不限,不限,全职,上市公司,西安,11k-20k,宝兰德软件
漫画色彩师,不限,不限,全职,未融资,西安,4k-7k,漫星球
Java开发工程师（西安研发中心）,3-5年,本科,全职,上市公司,西安,8k-12k,竞业达
游戏后台开发工程师,3-5年,大专,全职,未融资,西安,6k-12k,叁角猫游戏
销售专员,不限,大专,全职,上市公司,西安,4k-8k,城固网库
数据可视化工程师,3-5年,本科,全职,不需要融资,西安,15k-25k,星垂智能
驻外出纳,3-5年,大专,全职,未融资,西安,3k-6k,中科启云
售前技术支持工程师（西安）,3-5年,本科,全职,未融资,西安,7k-12k,Esri 中国
PHP研发主管,3-5年,大专,全职,不需要融资,西安,10k-15k,中建智达
招聘专员,3-5年,大专,全职,上市公司,西安,3k-6k,新华保险
Java软件工程师,3-5年,大专,全职,不需要融资,西安,7k-12k,西安天文双子软件科技有限公司
PaaS研发架构师,不限,不限,全职,上市公司,西安,20k-30k,宝兰德软件
勾线助理,不限,不限,全职,未融资,西安,3K-6K,漫星球
前端开发工程师,1-3年,本科,全职,上市公司,西安,8k-16k,竞业达
手游服务器开发程序员,1-3年,不限,全职,未融资,西安,6k-12k,叁角猫游戏
销售助理,不限,大专,全职,上市公司,西安,4k-8k,城固网库
Web 前端开发经理,5-10年,本科,全职,不需要融资,西安,25k-40k,星垂智能
GIS开发工程师（西安）,3-5年,本科,全职,未融资,西安,10k-18k,Esri 中国
PHP开发工程师,1-3年,大专,全职,不需要融资,西安,6k-10k,中建智达
Java开发工程师,1-3年,本科,全职,天使轮,西安,10k-20k,云积互动
市场经理,5-10年,大专,全职,未融资,西安,5k-10k,中科启云
Java高级工程师,3-5年,本科,全职,不需要融资,西安,10k-20k,北京天职信息技术有限公司
大客户经理,应届毕业生,本科,全职,不需要融资,西安,10k-20k,一起嗨
儿童英语老师,不限,本科,全职,D轮及以上,西安,4k-8k,猿辅导
产品运营总监,5-10年,本科,全职,不需要融资,西安,10k-20k,西安天文双子软件科技有限公司
产品经理,3-5年,本科,全职,上市公司,西安,15k-25k,宝兰德软件
漫画主笔,不限,不限,全职,未融资,西安,6K-12K,漫星球
手游服务器主程,3-5年,不限,全职,未融资,西安,10k-20k,叁角猫游戏
销售助理,不限,大专,全职,上市公司,西安,3k-6k,城固网库
量化投资研究员,3-5年,本科,全职,不需要融资,西安,18k-25k,星垂智能
GIS销售经理（西安）,3-5年,不限,全职,未融资,西安,8k-15k,Esri 中国
前端开发工程师,3-5年,本科,全职,天使轮,西安,8k-16k,云积互动
广告营销助理,应届毕业生,大专,全职,不需要融资,西安,2k-4k,一起嗨
后端开发工程师,1-3年,本科,全职,不需要融资,西安,8k-12k,贝业思
爱采购运营,1-3年,大专,全职,D轮及以上,西安,4k-6k,动力无限
客户经理,3-5年,本科,全职,未融资,西安,10k-20k,bit-service
爱采购运营专员,1-3年,大专,全职,未融资,西安,4k-6k,西安万家灯火信息技术有限公司
政府业务渠道拓展经理,3-5年,本科,全职,D轮及以上,西安,25k-30k,金山云
财务助理,1-3年,大专,全职,上市公司,西安,3k-4k,设计院
Java高级工程师,3-5年,大专,全职,上市公司,西安,12k-20k,宝兰德软件
高级 Unity3D 客户端工程师,3-5年,不限,全职,未融资,西安,8k-15k,叁角猫游戏
销售代表,不限,大专,全职,上市公司,西安,4k-8k,城固网库
产品经理,3-5年,本科,全职,不需要融资,西安,15k-25k,星垂智能
数据分析师,1-3年,硕士,全职,天使轮,西安,8k-16k,云积互动
资深文案策划,3-5年,本科,全职,不需要融资,西安,6k-12k,贝业思
催收专员,不限,大专,全职,未融资,西安,4k-8k,汇融众信资产管理
系统架构师,5-10年,不限,全职,C轮,西安,20k-30k,九曳供应链
大数据开发工程师,3-5年,本科,全职,不需要融资,西安,10k-15k,华扬联众全国数据技术中心（HDTC）
java中级开发工程师（西安-大客户事业部）,3-5年,本科,全职,C轮,西安,5k-10k,数云
