（安卓）Android 开发工程师,北京文创思宇科技发展有限公司,0.8-1万/月,北京-西城区,1年经验,本科,招1人,05-20发布,定期体检|交通补贴
Android开发工程师,北京天创征腾信息科技有限公司,0.9-1.2万/月,北京-海淀区,无工作经验,本科,招3人,05-20发布,五险一金|交通补贴|餐饮补贴|通讯补贴|年终奖金|弹性工作|绩效奖金
Android高级工程师 (MJ001909),欢聚时代（多玩YY）,2.5-3.5万/月,广州-番禺区,3-4年经验,本科,招3人,05-20发布,
Android研发工程师,北京迪曼森科技有限公司,1.5-2万/月,北京-海淀区,无工作经验,大专,招若干人,05-20发布,五险一金|员工旅游|交通补贴|餐饮补贴|年终奖金|定期体检|周末双休
Android开发工程师,北京博兴高科科技有限公司,1-1.5万/月,北京-朝阳区,3-4年经验,本科,招1人,05-20发布,五险一金|员工旅游|生日福利|年终奖金|弹性工作
Frontend App Deverloper(Android),大众汽车（中国）投资有限公司,,北京,无工作经验,本科,招4人,05-20发布,五险一金|补充医疗保险|员工旅游|餐饮补贴|专业培训|出国机会|年终奖金
上市集团-高级android开发工程师,嘉联支付有限公司,1.5-2.5万/月,北京-丰台区,3-4年经验,本科,招1人,05-20发布,五险一金|专业培训
Android开发工程师,北京英视睿达科技有限公司,0.8-1.5万/月,北京-丰台区,2年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|通讯补贴|交通补贴|绩效奖金|年终奖金
Android开发工程师(职位编号：18185),奇虎360科技有限公司,2-2.5万/月,北京,2年经验,本科,招1人,05-20发布,
Android开发工程师,北京思卓软件有限公司,0.8-1万/月,北京-西城区,2年经验,本科,招1人,05-20发布,弹性工作
Android开发工程师,北京亿和博嘉教育科技有限公司,1-2万/月,北京-朝阳区,3-4年经验,本科,招1人,05-20发布,五险一金|年终奖金|全勤奖|节日福利|弹性工作
Android开发工程师,上海艾融软件股份有限公司,1-1.3万/月,北京-海淀区,2年经验,本科,招1人,05-20发布,五险一金|定期体检|专业培训|餐饮补贴
平台测试,软通动力信息技术（集团）有限公司,0.8-1万/月,北京,2年经验,本科,招1人,04-17发布,五险一金|弹性工作|定期体检|免费班车
C++客户端工程师（手游）,完美世界（北京）总部/完美时空,1.5-2.5万/月,北京,无工作经验,本科,招1人,05-20发布,五险一金|补充医疗保险|交通补贴|专业培训|绩效奖金|弹性工作|定期体检
全栈工程师(职位编号：J190574),网易集团,2.5-3万/月,北京,2年经验,硕士,招1人,05-20发布,
全栈工程师(职位编号：J190584),网易集团,2.5-3万/月,北京,2年经验,硕士,招1人,05-20发布,
前端Java开发工程师,中科软科技股份有限公司,0.9-1.8万/月,北京,1年经验,本科,招10人,05-20发布,
GNSS解决方案工程师,三星半导体（中国）研究开发有限公司,1.5-3万/月,北京-朝阳区,无工作经验,本科,招若干人,05-20发布,五险一金|员工旅游|交通补贴|餐饮补贴|通讯补贴|年终奖金|弹性工作|定期体检|绩效奖金
高级手机测试工程师（Performance）,小米通讯技术有限公司,1.5-3万/月,北京-海淀区,5-7年经验,本科,招2人,03-21发布,五险一金|交通补贴|餐饮补贴
camera 底层软件工程师-北京,小米通讯技术有限公司,2-4万/月,北京-海淀区,3-4年经验,本科,招3人,03-21发布,五险一金|交通补贴|餐饮补贴
modem工程师-北京,小米通讯技术有限公司,1.5-3万/月,北京-海淀区,3-4年经验,本科,招3人,03-21发布,五险一金|交通补贴|餐饮补贴
移动端开发工程师,北京商联达科技有限公司,1-2万/月,北京-海淀区,2年经验,大专,招若干人,05-14发布,五险一金|绩效奖金|专业培训|通讯补贴
移动端视频研发工程师(职位编号：19424),字节跳动,2.5-5万/月,北京,3-4年经验,本科,招5人,04-26发布,租房补贴|扁平管理|职业大牛|团队氛围好
前端开发工程师,北京旋极伏羲大数据技术有限公司,1.2-2万/月,北京-海淀区,5-7年经验,本科,招3人,05-20发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|定期体检|股票期权|员工旅游
C++开发工程师,北京云迹科技有限公司,1.5-2.5万/月,北京-海淀区,3-4年经验,本科,招1人,05-20发布,五险一金|专业培训|绩效奖金|年终奖金|股票期权|弹性工作|定期体检
web前段开发工程师,深圳市一里递商务科技有限公司,2-5万/月,北京-海淀区,无工作经验,大专,招10人,05-20发布,
Android多媒体框架开发工程师,字节跳动,2.5-5万/月,北京,3-4年经验,本科,招5人,05-20发布,租房补贴|扁平管理|职业大牛|团队氛围好
PCB软硬件工程师,北京凯瑞通电子技术有限公司,3-6千/月,北京-通州区,无工作经验,中专,招若干人,05-14发布,
高级android开发工程师,随锐科技股份有限公司,1.5-2万/月,北京-海淀区,3-4年经验,本科,招1人,05-20发布,餐饮补贴|定期体检|六险一金|周末双休
Android开发工程师,北京酷车易美网络科技有限公司,0.8-1.3万/月,北京-朝阳区,2年经验,大专,招2人,05-20发布,员工旅游|股票期权|年终奖金|定期体检|餐饮补贴|五险一金|补充医疗保险
Android高级工程师,易视腾科技股份有限公司,1.5-2.5万/月,北京,3-4年经验,本科,招4人,05-20发布,五险一金|补充医疗保险|通讯补贴|定期体检|绩效奖金|年终奖金
Android高级音视频开发工程师(职位编号：17951),奇虎360科技有限公司,2-2.5万/月,北京,3-4年经验,本科,招2人,05-20发布,
Android开发工程师,乐荐信息科技（北京）有限公司,0.8-1.2万/月,北京-朝阳区,2年经验,本科,招1人,05-20发布,做五休二|周末双休|弹性工作|带薪年假|五险一金|节日福利|绩效奖金|专业培训
高德-Android 高级开发工程师/专家-数据研发部(职位编号：GP506409),阿里巴巴集团,,北京,3-4年经验,本科,招1人,05-20发布,
友盟-Android研发工程师（专家）(职位编号：GP025876),阿里巴巴集团,,北京,3-4年经验,本科,招1人,05-20发布,
资深Android软件工程师(杭州)(职位编号：vivo002843),vivo智能手机（维沃移动通信有限公司）,2.5-5万/月,杭州-西湖区,5-7年经验,本科,招6人,05-20发布,
Android开发工程师,北京直真科技股份有限公司,2-2.5万/月,北京-朝阳区,3-4年经验,本科,招3人,05-20发布,五险一金|股票期权|年终奖金|绩效奖金|通讯补贴|餐饮补贴|弹性工作|定期体检|专业培训
CSIG16-腾讯地图Android开发工程师（北京）(职位编号：50056),深圳市腾讯计算机系统有限公司,,北京,5-7年经验,本科,招1人,05-20发布,
阿里集团-高级Android开发工程师-POI(职位编号：GP539843),阿里巴巴集团,,北京,3-4年经验,本科,招1人,05-20发布,
创新业务事业群-Android客户端研发.WQZ-CH(职位编号：GP536021),阿里巴巴集团,,北京,3-4年经验,本科,招1人,05-20发布,
Android开发高级工程师(职位编号：15081),字节跳动,2.5-3.5万/月,北京,3-4年经验,本科,招3人,05-20发布,弹性工作|免费三餐|租房补贴|五险一金
高级Android研发专家(职位编号：16067),字节跳动,2.5-5万/月,北京,3-4年经验,本科,招3人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|过亿用户|职业大牛|晋升空间|团队氛围好
高级Android研发工程师(职位编号：16066),字节跳动,2.5-5万/月,北京,3-4年经验,本科,招10人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|过亿用户|职业大牛|晋升空间|团队氛围好
Android开发工程师(职位编号：16768),字节跳动,2.5-3.5万/月,北京,3-4年经验,本科,招3人,05-20发布,弹性工作|免费三餐|租房补贴|五险一金
Android开发高级工程师(职位编号：19884),字节跳动,2-4万/月,北京,3-4年经验,本科,招3人,05-20发布,弹性工作|免费三餐|租房补贴|五险一金
多媒体Android平台研发工程师(职位编号：20805),字节跳动,2-4万/月,北京,1年经验,本科,招5人,05-20发布,租房补贴|扁平管理|职业大牛|团队氛围好
