Java高级开发工程师,北京迪科远望科技有限公司,1.5-2万/月,北京-海淀区,5-7年经验,本科,招2人,05-20发布,周末双休|带薪年假|五险一金|节日福利|交通补贴|餐饮补贴|通讯补贴
Java开发工程师,上海舟恩信息技术有限公司,1.2-1.6万/月,北京-西城区,3-4年经验,本科,招若干人,05-20发布,五险一金|餐饮补贴|年终奖金|带薪年假|周末双休|节日福利
Java开发工程师,上海贝塔斯曼商业服务有限公司北京分公司,1-1.5万/月,北京-朝阳区,2年经验,本科,招2人,05-20发布,做五休二|绩效奖金|全勤奖|节日福利|专业培训|五险一金|带薪年假|加班补贴|年度旅游
高级Java工程师（算法后端方向）,北京富通东方科技有限公司,1.5-2.5万/月,北京-朝阳区,5-7年经验,本科,招2人,05-20发布,五险一金|补充医疗保险|定期体检|餐饮补贴|节日福利
Java研发工程师,北京清软创新科技股份有限公司,0.8-1.5万/月,北京,3-4年经验,本科,招1人,05-20发布,五险一金|餐饮补贴|通讯补贴|专业培训|定期体检|带薪年假
Java开发工程师,吉贝克信息技术有限公司,0.8-1.2万/月,北京-海淀区,3-4年经验,本科,招2人,05-20发布,五险一金|通讯补贴
Java开发工程师,北京炎黄新星网络科技有限公司,0.8-1.6万/月,北京-海淀区,2年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|定期体检|年终奖金|员工旅游
Java高级开发工程师,北京金信润天信息技术股份有限公司,1.2-2万/月,北京-顺义区,5-7年经验,大专,招2人,05-20发布,五险一金|补充医疗保险|定期体检|年终奖金|绩效奖金|带薪年假
Java中高级开发工程师(驻北京现场),中兴（沈阳）金融科技有限公司,1-2万/月,北京-朝阳区,3-4年经验,本科,招10人,05-20发布,五险一金|餐饮补贴|弹性工作|专业培训|绩效奖金|年终奖金
Java开发工程师,中云智慧（北京）科技有限公司,1-1.5万/月,北京-大兴区,3-4年经验,本科,招若干人,05-20发布,五险一金|定期体检|交通补贴|餐饮补贴|绩效奖金
Java开发工程师,北京久其软件股份有限公司,1-1.5万/月,北京,2年经验,本科,招5人,05-20发布,五险一金|员工旅游|餐饮补贴|通讯补贴|绩效奖金|定期体检|专业培训|免费班车|年终奖金
Java开发工程师,北京网拓时代科技有限公司,1-1.5万/月,北京-海淀区,3-4年经验,本科,招3人,05-20发布,五险一金|餐饮补贴|通讯补贴
高级java后台开发工程师,斯润天朗（北京）科技有限公司,1.5-2.5万/月,北京-丰台区,5-7年经验,本科,招3人,05-20发布,五险一金|补充医疗保险|员工旅游|年终奖金|股票期权|定期体检|弹性工作|绩效奖金
接口测试,软通动力信息技术（集团）有限公司,7-9千/月,北京,无工作经验,本科,招1人,03-21发布,五险一金|弹性工作|定期体检|免费班车
移动安全工程师(001149)(职位编号：360ESG001149),奇安信集团,1.5-3万/月,北京,2年经验,大专,招1人,03-25发布,
云计算技术-主机存储安全,农信银资金清算中心有限责任公司,1.5-2万/月,北京,3-4年经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
测试,农信银资金清算中心有限责任公司,1.5-2万/月,北京,3-4年经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
软件开发与项目管理,农信银资金清算中心有限责任公司,1.5-2万/月,北京,3-4年经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
Java开发工程师,北京慧博融信科技有限公司,1-1.3千/月,北京-海淀区,3-4年经验,大专,招1人,03-22发布,
系统运行维护-运行保障部（应届生）,农信银资金清算中心有限责任公司,1-1.5万/月,北京,无工作经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
运维开发,农信银资金清算中心有限责任公司,1.5-2万/月,北京,3-4年经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
应用研发（共享灾备平台）,农信银资金清算中心有限责任公司,1.5-2万/月,北京,3-4年经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
搜索/推荐算法工程师/专家,北京转转精神科技有限责任公司,2.5-5万/月,北京-海淀区,3-4年经验,本科,招2人,03-25发布,五险一金|补充医疗保险|餐饮补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
Web前端开发工程师,北京腾信软创科技股份有限公司,1-1.5万/月,北京-顺义区,3-4年经验,本科,招1人,03-25发布,五险一金|餐饮补贴|员工旅游|定期体检|交通补贴|出国机会|股票期权
大数据开发工程师-北京校招,精硕科技(北京)股份有限公司,1-1.5万/月,北京-海淀区,无工作经验,本科,招若干人,03-21发布,五险一金|补充医疗保险|餐饮补贴|定期体检|年终奖金|员工旅游|弹性工作
软件研发经理_精密工程技术中心,浙江大学山东工业技术研究院,0.5-1万/月,枣庄,5-7年经验,本科,招1人,04-29发布,五险一金|餐饮补贴|定期体检
资深数据挖掘工程师（反作弊优先）(职位编号：17762),奇虎360科技有限公司,3-4万/月,北京,5-7年经验,本科,招1人,03-31发布,
开发经理/technical leader,NTT DATA（中国）有限公司,2-2.5万/月,北京-朝阳区,无工作经验,招1人,03-25发布,英语良好,五险一金|补充医疗保险|年终奖金|定期体检
软件开发与项目管理-创新研发部（应届生）,农信银资金清算中心有限责任公司,1-1.5万/月,北京,无工作经验,本科,招若干人,03-25发布,补充医疗保险|餐饮补贴|专业培训|定期体检
