Web前端开发工程师（中高级）,北京永信至诚科技股份有限公司,1.5-2万/月,北京-海淀区,8-9年经验,本科,招1人,05-20发布,五险一金|餐饮补贴|补充医疗保险|弹性工作|定期体检|员工旅游|年终奖金|绩效奖金
00034-高级前端开发工程师,北京数字认证股份有限公司,1.5-2万/月,北京-海淀区,3-4年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|年终奖金|定期体检|通讯补贴
前端开发工程师,武汉鑫瑞鼎汇软件技术服务有限公司,1-1.5万/月,北京-海淀区,3-4年经验,大专,招4人,05-20发布,
前端开发工程师,北京科百宏业科技有限公司,1-1.6万/月,北京-海淀区,3-4年经验,大专,招2人,05-20发布,五险一金|员工旅游|绩效奖金|定期体检|餐饮补贴|交通补贴|补充医疗保险|通讯补贴|年终奖金
Web前端开发工程师,北京开普云信息科技有限公司,1-1.5万/月,北京,3-4年经验,本科,招1人,05-20发布,做五休二|周末双休|带薪年假|五险一金|全勤奖|节日福利|餐饮补贴
前端开发（工作地济南）,瑞斯康达科技发展股份有限公司,6-8千/月,济南-历下区,3-4年经验,本科,招若干人,05-20发布,带薪年假|五险一金|餐饮补贴|补充医疗保险|通讯补贴|定期体检|年终奖金
Web前端开发工程师(中车购),中车信息技术有限公司,1.3-1.8万/月,北京,3-4年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|年终奖金|绩效奖金|弹性工作
Web前端开发工程师,清华大学,1-2万/月,北京-海淀区,无工作经验,本科,招1人,05-20发布,专业培训|餐饮补贴|周末双休|带薪年假|五险一金|绩效奖金|节日福利|通讯补贴|定期体检|年终奖金
前端开发工程师,北京时代数维科技有限公司,1.5-2万/月,北京-海淀区,2年经验,本科,招2人,05-20发布,五险一金|员工旅游|年终奖金|定期体检
Web前端开发+早九晚六双休,北京美联房地产经纪有限公司,1-2万/月,北京-朝阳区,2年经验,大专,招1人,05-20发布,
前端工程师（PaaS/北京）(J12495),北京北森云计算股份有限公司,1.2-2万/月,北京-海淀区,2年经验,本科,招1人,03-28发布,餐饮补贴|弹性工作
中级JAVA工程师BS方向,北京华宇泰聚科技有限公司,1-1.5万/月,北京-海淀区,3-4年经验,大专,招30人,05-19发布,节日福利|带薪年假|五险一金
web前端工程师,北京仁和汇智信息技术有限公司,0.8-1.2万/月,北京-昌平区,2年经验,大专,招2人,05-19发布,五险一金|专业培训|股票期权|年终奖金|绩效奖金
前端技术专家(职位编号：30961),字节跳动,4-8万/月,北京,5-7年经验,本科,招3人,05-20发布,五险一金|团队氛围好|免费三餐|晋升空间|租房补贴
.net(C#)软件开发工程师,北京朝宇慧科信息技术有限公司,1.5-2万/月,北京-丰台区,2年经验,本科,招2人,05-19发布,社保五险|周末双休|法定节假日|年终奖金
前端研发工程师 - aPaaS 团队(职位编号：31403),字节跳动,2-4万/月,北京,2年经验,本科,招5人,05-20发布,六险一金|高薪期权|弹性工作|免费三餐|租房补贴|带薪休假|扁平管理|职业大牛|团队氛围好|优厚薪资
Java高级开发工程师,北京汉克时代科技有限公司,1.5-2万/月,北京,5-7年经验,本科,招2人,05-19发布,五险一金|员工旅游|年终奖金|弹性工作|定期体检
前端研发工程师（GYHL1xbz）,北京东方国信科技股份有限公司,1.5-2.5万/月,北京,3-4年经验,本科,招2人,05-19发布,五险一金|年终奖金|定期体检|专业培训
后端开发工程师,北京安德信业信息咨询有限责任公司,2.5-4.5万/月,北京-海淀区,1年经验,本科,招3人,05-19发布,
GIS开发工程师,北京众维网络技术有限公司,1.5-2万/月,北京-大兴区,5-7年经验,本科,招1人,05-19发布,周末双休|带薪年假|五险一金|节日福利|餐饮补贴|年终奖金|健康体检
资深前端研发工程师 - aPaaS 团队(职位编号：31404),字节跳动,3-6万/月,北京,5-7年经验,本科,招5人,05-20发布,六险一金|高薪期权|弹性工作|免费三餐|租房补贴|带薪休假|扁平管理|职业大牛|团队氛围好|优厚薪资
26381-政务业务高级前端工程师（北京）(职位编号：46034),深圳市腾讯计算机系统有限公司,,北京,3-4年经验,本科,招1人,03-27发布,
CSIG16-地图数据Web前端研发工程师(职位编号：44460),深圳市腾讯计算机系统有限公司,,北京,3-4年经验,本科,招1人,03-27发布,
CSIG16-高级商务经理(职位编号：44630),深圳市腾讯计算机系统有限公司,,北京,5-7年经验,本科,招1人,03-27发布,
中高级PHP开发工程师/架构师,北京直客通科技有限公司,2-3万/月,北京-朝阳区,3-4年经验,本科,招3人,03-27发布,
平面设计师,益洗新（北京）科技发展有限公司,1.2-1.8万/月,北京,无工作经验,大专,招1人,03-27发布,五险一金|年终奖金|专业培训|绩效奖金|定期体检|员工旅游|弹性工作|带薪年假|通讯补贴
八角-软件开发工程师web,北京中油瑞飞信息技术有限责任公司,1-1.5万/月,北京-石景山区,3-4年经验,本科,招1人,03-27发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|弹性工作
