大数据讲师,北京八维研修学院,1.5-3万/月,北京-海淀区,3-4年经验,大专,招2人,05-20发布,五险一金|专业培训|绩效奖金|餐饮补贴|春节长假
大数据工程师,北京码农星球软件有限公司,0.7-1万/月,北京-昌平区,无工作经验,大专,招3人,05-20发布,
大数据工程师（电商行业）(职位编号：35593),字节跳动,2.5-4万/月,北京,2年经验,本科,招1人,05-20发布,六险一金|弹性工作|免费三餐|租房补贴|带薪休假|休闲下午茶|扁平管理|健身瑜伽|过亿用户|职业大牛
大数据开发工程师,北京博兴高科科技有限公司,1-1.5万/月,北京-海淀区,3-4年经验,本科,招2人,05-20发布,五险一金|员工旅游|生日福利|年终奖金|弹性工作
大数据销售经理,上海德拓信息技术股份有限公司,1.5-2.5万/月,北京-朝阳区,无工作经验,本科,招若干人,05-20发布,五险一金|弹性工作|员工旅游|年终奖金
销售顾问（大数据方向）(012992)(职位编号：digitalchina012992),神州数码（中国）有限公司,1.5-2万/月,北京-海淀区,3-4年经验,本科,招1人,05-20发布,员工旅游|餐饮补贴|通讯补贴|年终奖金|定期体检|弹性工作|丰厚回报|晋升机会|七险一金|交通补贴
(T)大数据开发工程师(001369),汉能移动能源控股集团有限公司,1.5-2万/月,北京,5-7年经验,本科,招4人,05-20发布,
大数据架构师,海外网传媒有限公司,1.5-2.5万/月,北京-朝阳区,5-7年经验,本科,招1人,05-20发布,五险一金|定期体检|专业培训|年终奖金|补充医疗保险|带薪年假|防暑降温费|全勤奖
高级Java开发工程师（大数据方向）(006107)(职位编号：glodon006107),广联达科技股份有限公司,2-2.5万/月,北京-海淀区,5-7年经验,本科,招若干人,05-20发布,五险一金|补充医疗保险|免费班车|餐饮补贴|绩效奖金|定期体检|专业培训
售前--金融行业--北京,北京明略软件系统有限公司,2-2.5万/月,北京-海淀区,10年以上经验,本科,招若干人,04-08发布,
无责任底薪5000元+提成  置业顾问,北京链家房地产经纪有限公司-BJ015,0.6-1.2万/月,北京,无工作经验,本科,招10人,04-09发布,弹性工作|五险一金|节日福利|专业培训|住房补贴|通讯补贴|高温补贴|餐饮补贴
Java开发工程师,航天信息股份有限公司,1-1.5万/月,北京,3-4年经验,本科,招3人,04-09发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金|弹性工作|定期体检
链家总部销售+专业培训+就近分配+薪资保证,北京链家房地产经纪有限公司-BJ015,0.8-1万/月,北京-朝阳区,无工作经验,本科,招2人,04-09发布,五险一金|补充公积金|员工旅游|出国机会|专业培训|弹性工作|补充医疗保险
北京链家诚聘房产销售/置业顾问/就近分配,北京链家房地产经纪有限公司-BJ015,0.8-1万/月,北京,无工作经验,本科,招5人,04-09发布,弹性工作|五险一金|带薪年假|节日福利|专业培训
名企链家直聘房产销售/房产经纪人/置业顾问/实习生,北京链家房地产经纪有限公司-BJ015,6-8千/月,北京,无工作经验,本科,招6人,04-09发布,弹性工作|带薪年假|绩效奖金|节日福利|专业培训|住房补贴|通讯补贴|定期出游
Java开发工程师,航天信息股份有限公司,1-1.5万/月,北京,3-4年经验,本科,招5人,04-09发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|绩效奖金|年终奖金|弹性工作|定期体检
应届生岗位链家销售管培生,北京链家房地产经纪有限公司-BJ230,0.8-1万/月,北京-昌平区,无工作经验,本科,招5人,03-27发布,五险一金|补充医疗保险|员工旅游|专业培训|出国机会|绩效奖金|年终奖金|弹性工作|定期体检
政府行业总监,元力云网络有限公司,1.5-2.5万/月,北京-朝阳区,8-9年经验,大专,招若干人,04-09发布,五险一金|绩效奖金|年终奖金|定期体检
PD经理（云计算）,杭州数梦工场科技有限公司,1.5-2.5万/月,杭州-西湖区,5-7年经验,本科,招若干人,04-07发布,绩效奖金|股票期权|弹性工作|五险一金
销售经理（电子政务领域）,西藏国路安科技股份有限公司,2.5-4万/月,北京-海淀区,5-7年经验,本科,招5人,04-08发布,五险一金|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|超额奖金
销售总监/经理（政府行业）,西藏国路安科技股份有限公司,2.5-4万/月,北京-海淀区,5-7年经验,本科,招若干人,04-08发布,五险一金|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检
策略用户产品,汽车之家,1.5-3万/月,北京-海淀区,3-4年经验,本科,招1人,04-08发布,上市公司|零食水果|绩效奖金
