Java高级工程师,北京天职信息技术有限公司,1-1.5万/月,西安,3-4年经验,本科,招1人,05-20发布,五险一金|绩效奖金|员工旅游|定期体检|年终奖金|弹性工作|节日福利
对日Java中级、高级软件开发,西安润和软件信息技术有限公司,0.6-1.2万/月,西安-雁塔区,3-4年经验,大专,招5人,05-20发布,五险一金|餐饮补贴|年终奖金|免费班车|员工旅游|定期体检
00074-Java开发工程师,上海京颐科技股份有限公司,0.8-1.5万/月,西安,2年经验,本科,招1人,05-20发布,五险一金|员工旅游|交通补贴|餐饮补贴|通讯补贴|绩效奖金|年终奖金|股票期权|年底双薪|餐补
JAVA高级开发工程师,西安酷聊智能科技有限公司,0.9-1.8万/月,西安-高新技术产业开发区,5-7年经验,大专,招2人,05-20发布,
Java中级开发工程师,深圳市德卡科技股份有限公司,0.6-1万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-20发布,五险一金|员工旅游|年终奖金|4.5天工作制|节日福利|生日礼品|活动场地|定期体检|补充医疗保险|法定假期
Java中级开发工程师,电讯盈科 西安,1-1.5万/月,西安,5-7年经验,大专,招1人,05-20发布,五险一金|定期体检|补充医疗保险|年终奖金
java工程师,浙江浙大网新中研软件有限公司,0.8-1万/月,西安-雁塔区,2年经验,大专,招2人,05-20发布,补充医疗保险|五险一金|餐饮补贴|定期体检|绩效奖金|员工旅游|年终奖金|下午茶
Java开发工程师,广州市诚毅科技软件开发有限公司,0.8-1.5万/月,西安-雁塔区,2年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|年终奖金|绩效奖金|专业培训|定期体检|员工餐厅|加班补贴|商业保险|扁平管理
Python开发实习生（西安）(J10070),绿盟科技,2-3千/月,西安-高新技术产业开发区,无工作经验,本科,招若干人,05-20发布,五险一金|补充医疗保险|员工旅游|餐饮补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
[ATCC]Microservice微服务开发工程师,埃森哲（中国）有限公司,1.2-2万/月,西安,8-9年经验,本科,招若干人,05-20发布,五险一金|补充医疗保险|弹性工作|定期体检|专业培训|补充公积金|免费班车|年终奖金
Web前端,陕西西建大聚慧软件科技有限公司,0.6-1.2万/月,西安-碑林区,3-4年经验,本科,招5人,05-18发布,
大数据应用开发工程师（西安）,新华三技术有限公司,,西安,无工作经验,本科,招若干人,05-18发布,
Android开发工程师,北京联龙博通电子商务技术有限公司,1-1.5万/月,西安-灞桥区,3-4年经验,大专,招2人,05-17发布,五险一金|专业培训|交通补贴|通讯补贴|弹性工作
SEO工程师,陕西三金电梯配件有限公司,1-2万/月,西安-莲湖区,2年经验,大专,招1人,04-18发布,带薪年假|五险一金|节日福利|全勤奖|股权激励
前端开发工程师,西安巴斯光年软件科技有限公司,0.6-1万/月,西安-雁塔区,无工作经验,本科,招1人,05-13发布,周末双休|带薪年假|五险一金|绩效奖金|节日福利
（19西安校招）大数据高级工程师,中国电子科技集团公司第十五研究所（华北计算技术研究所）,0.5-1万/月,西安-高新技术产业开发区,无工作经验,硕士,招若干人,05-14发布,五险一金|员工旅游|绩效奖金|年终奖金|交通补贴|餐饮补贴|定期体检|高温补贴|通讯补贴|带薪年假
数据库工程师,南京烽火星空通信发展有限公司,1-2万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-16发布,五险一金|补充医疗保险|绩效奖金|年底双薪
高级大数据开发工程师（西安）0890(职位编号：TAIJI000890),太极计算机股份有限公司,1-1.5万/月,西安-雁塔区,无工作经验,本科,招2人,05-05发布,五险一金|补充医疗保险|绩效奖金|交通补贴|餐饮补贴|弹性工作|定期体检|14薪
Java开发工程师,陕西万尚星软件科技有限公司,5-8千/月,西安-碑林区,2年经验,大专,招若干人,05-05发布,餐饮补贴|弹性工作|周末双休|带薪年假
Java开发工程师,陕西元信软件有限责任公司,0.7-1.2万/月,西安-高新技术产业开发区,3-4年经验,本科,招6人,03-30发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|通讯补贴|绩效奖金|年终奖金
解决方案经理,西安奥卡云数据科技有限公司,1.5-2万/月,西安-西咸新区,5-7年经验,本科,招2人,05-20发布,
软件开发（双休+五险一金）,西安卓睿信息技术有限公司,4.5-6千/月,西安,无工作经验,大专,招5人,04-10发布,五险一金|补充医疗保险|补充公积金|免费班车|员工旅游|交通补贴|绩效奖金
互联网软件开发工程师实习生,西安卓睿信息技术有限公司,4.5-6千/月,西安,无工作经验,大专,招6人,04-10发布,五险一金|补充医疗保险|补充公积金|员工旅游|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检
移动端游戏测试工程师/实习生（双休+4k-6k）,西安卓睿信息技术有限公司,4.5-6千/月,西安,无工作经验,大专,招6人,04-10发布,五险一金|补充医疗保险|补充公积金|免费班车|员工旅游|交通补贴|绩效奖金
Java开发工程师,中软国际科技服务有限公司,0.7-1.1万/月,西安-碑林区,3-4年经验,大专,招若干人,04-26发布,五险一金|定期体检|补充医疗保险|绩效奖金|年终奖金
Java讲师,西安童程童创教育科技有限公司,1-1.5万/月,西安-碑林区,2年经验,大专,招3人,04-28发布,五险一金|交通补贴|绩效奖金|年终奖金|员工旅游
JAVA中级助教（周末休/五险一金）,西安童程童创教育科技有限公司,4.5-6千/月,西安-碑林区,1年经验,大专,招若干人,04-28发布,五险一金|交通补贴|绩效奖金|年终奖金|员工旅游
java实训讲师,西安童程童创教育科技有限公司,1-1.5万/月,西安-碑林区,2年经验,大专,招6人,04-28发布,五险一金|交通补贴|绩效奖金|年终奖金|员工旅游
Java老师,西安童程童创教育科技有限公司,1-1.5万/月,西安-碑林区,2年经验,大专,招5人,04-28发布,五险一金|交通补贴|绩效奖金|年终奖金|员工旅游
Java高级开发工程师,西安三好软件技术股份有限公司,0.5-1.2万/月,西安-碑林区,无工作经验,大专,招2人,04-24发布,员工旅游|绩效奖金|年终奖金|法定假日|五险|专业培训|补充医疗保险|周末双休
java开发（电信翼支付项目）,中软国际科技服务有限公司,0.9-1.4万/月,西安-雁塔区,3-4年经验,本科,招2人,04-26发布,五险一金|年终奖金|绩效奖金|餐饮补贴|弹性工作|交通补贴|补充医疗保险
Java开发工程师,深圳市元明科技发展有限公司,0.4-1.2万/月,西安-莲湖区,2年经验,大专,招10人,04-15发布,
Java软件开发工程师,西安长城数字软件有限公司,0.6-1.2万/月,西安,3-4年经验,大专,招若干人,04-16发布,五险一金|员工旅游|绩效奖金|定期体检
Java开发工程师,西安市雁塔区云和数据计算机培训学校,0.8-1万/月,西安-高新技术产业开发区,3-4年经验,大专,招1人,04-17发布,五险一金|绩效奖金|年终奖金|股票期权|专业培训
Java开发工程师,陕西大辉医疗科技有限公司,4.5-6千/月,西安,3-4年经验,大专,招3人,04-19发布,补充医疗保险|通讯补贴|专业培训|绩效奖金|年终奖金|交通补贴|五险一金|节日福利
JAVA开发工程师,西安榴莲网络科技有限公司,1-1.5万/月,西安-高新技术产业开发区,3-4年经验,本科,招5人,04-01发布,五险一金|绩效奖金
Java开发工程师,西安榴莲网络科技有限公司,0.8-1万/月,郑州-中原区,3-4年经验,大专,招若干人,04-01发布,
Java高级开发工程师,西安榴莲网络科技有限公司,1.5-2万/月,西安,5-7年经验,本科,招1人,04-01发布,
JAVA工程师,东方网力科技股份有限公司,1-2万/月,西安-高新技术产业开发区,3-4年经验,本科,招10人,04-02发布,五险一金|员工旅游|餐饮补贴|通讯补贴|股票期权|定期体检|专业培训|绩效奖金|年终奖金
Java开发工程师,陕西汇立网络科技有限公司,4-8千/月,西安-高新技术产业开发区,2年经验,中专,招5人,04-08发布,
java高级工程师,陕西汇立网络科技有限公司,0.6-1.2万/月,西安-高新技术产业开发区,3-4年经验,中专,招5人,04-08发布,
Java开发工程师,陕西汇立网络科技有限公司,4-8千/月,西安-高新技术产业开发区,无工作经验,中专,招5人,04-08发布,
Java高级开发工程师(西安）,杭州数云信息技术有限公司西安分公司,1.5-2万/月,西安-高新技术产业开发区,5-7年经验,大专,招2人,04-09发布,
JAVA讲师（年收入12-15W）,西安童程童创教育科技有限公司,1-1.5万/月,西安-碑林区,2年经验,大专,招5人,04-09发布,五险一金|交通补贴|绩效奖金|年终奖金|员工旅游
Java高级工程师(五险一金+双休+股权激励）,深圳坐标软件集团有限公司,1.5-2万/月,西安-未央区,5-7年经验,本科,招3人,04-23发布,股票期权|五险一金|补充医疗保险|餐饮补贴|交通补贴|绩效奖金|年终奖金|专业培训
中级java开发工程师,西安飞鸟软件科技有限公司,0.5-2万/月,西安-高新技术产业开发区,5-7年经验,大专,招5人,04-23发布,五险一金|交通补贴|餐饮补贴|通讯补贴|年终奖金|员工旅游|出国机会|定期体检
高级研发工程师（西安）,核工业计算机应用研究所,0.8-1.6万/月,西安,3-4年经验,本科,招3人,05-20发布,五险一金|通讯补贴|专业培训|定期体检|年终奖金
移动端H5开发工程师,西安易用视点软件科技有限公司,5-8千/月,西安,2年经验,大专,招3人,05-20发布,周末双休|五险一金|带薪年假|专业培训|全勤奖|节日福利
后端开发工程师,普元信息技术股份有限公司,7-9千/月,西安,3-4年经验,本科,招2人,05-20发布,五险一金|绩效奖金|通讯补贴|餐饮补贴|定期体检
