PHP开发工程师,西安名世信息科技有限公司,4.5-6千/月,西安-雁塔区,1年经验,大专,招3人,05-20发布,绩效奖金|员工旅游|交通补贴|通讯补贴|年终奖金|专业培训|五险一金|节日福利
诚聘PHP程序员,陕西泰乐网络科技有限公司,3-5千/月,西安,1年经验,大专,招2人,05-20发布,弹性工作|绩效奖金|年终奖金|加班补助|节日福利|周末双休|全勤奖|生日福利|补充医疗保险|员工旅游
PHP中级软件开发工程师,陕西省君凯电子科技有限公司,0.6-1万/月,西安,无工作经验,本科,招3人,05-20发布,五险一金|专业培训|交通补贴|餐饮补贴|通讯补贴|绩效奖金
PHP开发工程师,国商商标事务所有限公司,6-8千/月,西安-碑林区,2年经验,大专,招2人,05-20发布,周末双休|五险一金|全勤奖|绩效奖金|节日福利|专业培训|员工旅游
PHP工程师,西安创典全程地产顾问股份有限公司,0.6-1万/月,西安,2年经验,大专,招2人,05-20发布,五险一金|专业培训|绩效奖金|弹性工作|定期体检|员工旅游|交通补贴
PHP开发工程师,西安智人网络科技有限公司,1.5-2万/月,西安-新城区,10年以上经验,大专,招若干人,05-20发布,五险一金|补充医疗保险|补充公积金|员工旅游|专业培训|出国机会|绩效奖金|年终奖金|弹性工作
PHP高级开发工程师,西安佰联网络技术有限公司,0.5-1万/月,西安-新城区,2年经验,大专,招1人,05-20发布,餐饮补贴|员工旅游|绩效奖金|弹性工作|做五休二|周末双休
PHP高级开发工程师,西安鼎都实业有限公司,1-1.5万/月,西安-未央区,5-7年经验,大专,招2人,05-20发布,五险一金|补充医疗保险|专业培训|定期体检|绩效奖金
PHP开发工程师,西安比邻卓越人力资源服务有限公司,0.8-1.5万/月,西安-未央区,2年经验,本科,招1人,05-20发布,
IT工程师技术员Java，PHP，c#等,湖北一片语科技有限公司,1.2-4万/月,武汉,无工作经验,本科,招20人,05-20发布,出国机会|弹性工作|交通补贴|补充医疗保险
PHP开发工程师,上海德拓信息技术股份有限公司,0.9-1.5万/月,西安,无工作经验,本科,招若干人,05-20发布,五险一金|员工旅游|通讯补贴|定期体检|提供午餐|下午茶
PHP开发工程师   双休社保,名声在外（北京）电子商务有限公司西安分公司,0.7-1.4万/月,西安-灞桥区,3-4年经验,大专,招1人,05-20发布,五险一金|餐饮补贴|绩效奖金|周末双休|年终奖金|项目奖金|定期团建
