系统架构师（大数据方向）,北京易玖生态环境有限公司,3-5万/月,临汾,5-7年经验,本科,招2人,05-20发布,五险一金|弹性工作|餐饮补贴|交通补贴|绩效奖金|定期体检
大数据架构师,西安博达软件股份有限公司,2-2.5万/月,西安-高新技术产业开发区,5-7年经验,本科,招1人,05-20发布,周末双休|弹性工作|带薪年假|五险一金|免费班车|绩效奖金|全勤奖|节日福利|加班补贴|专业培训
大数据分析统计师,西安世龙世家商贸有限公司,6-8千/月,西安,2年经验,大专,招2人,05-20发布,通讯补贴|餐饮补贴|弹性工作|专业培训|年终奖金|交通补贴|十三薪|带薪年假
大数据架构师,广东心灯文化旅游有限公司,1-1.5万/月,西安-高新技术产业开发区,5-7年经验,本科,招2人,05-20发布,五险一金|周末双休|多次调薪|绩效奖金|定期团建
大数据开发工程师,西安易流物联科技有限公司,1-2万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-20发布,五险一金|员工旅游|餐饮补贴|绩效奖金|年终奖金
大数据开发工程师,郑州菏怀软件科技有限公司,1.5-2万/月,西安-雁塔区,3-4年经验,本科,招5人,05-20发布,五险一金|弹性工作|交通补贴|年终奖金|绩效奖金
大数据分析,西安盛世豪科网络科技有限公司,6-8千/月,西安-高新技术产业开发区,无工作经验,大专,招5人,05-20发布,五险一金|专业培训|绩效奖金|股票期权|员工旅游|老板nice|团队聚餐|项目奖金
Spark大数据开发工程师,东方通信股份有限公司,0.6-1万/月,西安,1年经验,本科,招2人,05-20发布,五险一金|餐饮补贴|通讯补贴|定期体检|交通补贴|年终奖金
智慧建筑大数据支持工程师,陕西汉鼎建筑装饰工程有限公司,6-8千/月,西安-碑林区,无工作经验,大专,招3人,05-20发布,
大数据开发工程师,重庆丝路启航智能科技有限公司,0.8-1.6万/月,西安-高新技术产业开发区,2年经验,本科,招1人,05-20发布,
大数据研发工程师/架构师,北京空间畅想信息技术有限责任公司,1-2万/月,西安-高新技术产业开发区,无工作经验,大专,招5人,05-20发布,五险一金|绩效奖金|年终奖金|弹性工作
JAVA高级开发工程师(大数据方向)(职位编号：glodon006244),广联达科技股份有限公司,1.1-2万/月,西安-未央区,5-7年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|餐饮补贴|定期体检|绩效奖金
