网络运维专员,陕西绝顶人峰网络科技有限公司,3-4.5千/月,西安-高新技术产业开发区|无工作经验|大专|招1人|05-06发布,绩效奖金|全勤奖|通讯补贴|员工旅游|节日福利|免费班车|专业培训|餐饮补贴|交通补贴|弹性工作
运维工程师,陕西淘丁实业集团有限公司,0.8-1.2万/月,西安-长安区|无工作经验|招1人|05-06发布,周末双休|带薪年假|五险一金|餐饮补贴
安全运维工程师,中通服科信信息技术有限公司,5-7千/月,西安|无工作经验|招3人|05-06发布,绩效奖金|通讯补贴|年终奖金|定期体检
IT运维专员,福建省三福百货有限公司,3.5-5千/月,西安|无工作经验|大专|招2人|05-06发布,五险一金|员工旅游|通讯补贴|专业培训|年终奖金
网络运维工程师,西安国际医学中心有限公司,0.7-1万/月,西安-高新技术产业开发区|3-4年经验|本科|招1人|05-06发布,做五休二|带薪年假|五险一金|节日福利|全勤奖|绩效奖金|餐饮补贴
网络运维工程师,西安尚瑞信息技术有限公司,4.5-6千/月,西安-西咸新区|3-4年经验|大专|招若干人|05-06发布,绩效奖金|年终奖金|周末双休|节日福利|免费班车|全勤奖
网络运维工程师,陕西巨人商务信息咨询有限公司,6-8千/月,西安-雁塔区|无工作经验|招5人|05-06发布,
运维部文员3000+五险一金,西安乾优软件科技有限公司,2.7-4.5千/月,西安-未央区|无工作经验|招2人|05-06发布,弹性工作|包住宿|五险一金|绩效奖金|节日福利|专业培训|交通补贴|高温补贴|通讯补贴|餐饮补贴
云计算运维工程师,上海安畅网络科技股份有限公司,4.5-6千/月,西安-雁塔区|1年经验|大专|招5人|05-06发布,五险一金|员工旅游|年终奖金|弹性工作|定期体检
运维专员,华润太平洋餐饮管理（北京）有限公司,3-4.5千/月,西安|1年经验|大专|招3人|05-06发布,做五休二|带薪年假|五险一金|高温补贴|通讯补贴|加班补贴|餐饮补贴|交通补贴|节日福利|专业培训
运维工程师,西安朔维医疗数据有限公司,0.6-1.2万/月,西安-高新技术产业开发区|2年经验|大专|招2人|05-06发布|计算机网络 计算机应用,五险一金|年终奖金|股票期权|节日福利|绩效奖金
售后运维工程师（西安）,北京锐安科技有限公司,,西安|无工作经验|本科|招若干人|05-06发布,
云计算运维,润联软件系统（深圳）有限公司,,西安|无工作经验|本科|招若干人|05-06发布,
运维管理（德银控股.上海）,陕西天行健车联网信息技术有限公司,1-1.5万/月,上海-静安区|2年经验|本科|招1人|05-06发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|做五休二
运维工程师/实习生,陕西摩天黑石教育科技有限公司,4-7.5千/月,西安-碑林区|无工作经验|大专|招3人|05-06发布,
网络运维工程师,陕西力源仪器设备检测有限公司,4.5-6千/月,西安-长安区|2年经验|本科|招1人|05-06发布,绩效奖金|年终奖金|定期体检|员工旅游|五险一金
ERP实施顾问(实习生),用友网络科技股份有限公司陕西分公司,1.5-2千/月,西安|无工作经验|招若干人|05-06发布,专业培训
大数据运维,西安华创人力资源管理咨询有限公司,20-30万/月,西安-雁塔区|5-7年经验|本科|招2人|04-29发布,五险一金|定期体检|绩效奖金|年终奖金|员工旅游
