岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
Java开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,技术挑战与个人成长空间,拉勾网
Java开发,1-3年,本科,全职,上市公司,上海,12k-16k,一年两次加薪 福利待遇好 境外游 领导Nice,泛微
Java开发工程师,3-5年,本科,全职,不需要融资,北京,20k-40k,"多通道发展,技术牛人多,平台大,扁平化",网联
Java开发,3-5年,本科,全职,A轮,上海,20k-33k,"金融科技,顶级风投,期权激励,前沿技术",Airwallex
Java开发工程师,3-5年,大专,全职,不需要融资,深圳,10k-15k,年终奖金，团队旅游，生日PARTY,博悦科创
JAVA,3-5年,本科,全职,不需要融资,深圳,14k-28k,"区块链,氛围好,福利好",深圳讴谱科技有限公司
Java开发,3-5年,本科,全职,B轮,上海,15k-28k,无限发挥空间，快来跟牛逼的团队一起战斗！,有鱼金融科技
JAVA开发工程师,3-5年,本科,全职,不需要融资,杭州,10k-20k,"老板好,技术大牛,发展空间大,福利多",达摩网络
Java开发工程师,3-5年,大专,全职,上市公司,南昌,5k-8k,"五险一金,带薪年休假,双休,晋升通道",金格科技
Java开发工程师,3-5年,本科,全职,上市公司,广州,10k-20k,"一线互联网,平台大,机会多",YY Inc
java工程师,1-3年,大专,全职,不需要融资,上海,8k-12k,"五险一金,过节费,旅游,体检",江苏亿科达
JAVA开发工程师,3-5年,不限,全职,不需要融资,天津,8k-16k,"免费班车,办公设备好,提供自助餐",武汉佰钧成技术有限公司
JAVA,3-5年,本科,全职,A轮,北京,30k-40k,"大小团建,AI黑科技,期权激励,不打卡",龙猫数据
JAVA工程师,3-5年,本科,全职,A轮,大连,8k-10k,"五险一金,发展空间,扁平管理,弹性工作",桔子分期
Java工程师,5-10年,本科,全职,天使轮,上海,18k-35k,"五险一金,带薪年假,团建,小吃零食",壹现金
Java开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,技术挑战与个人成长空间,拉勾网
Java开发,1-3年,本科,全职,上市公司,上海,12k-16k,一年两次加薪 福利待遇好 境外游 领导Nice,泛微
Java开发工程师,3-5年,本科,全职,不需要融资,北京,20k-40k,"多通道发展,技术牛人多,平台大,扁平化",网联
Java开发,3-5年,本科,全职,A轮,上海,20k-33k,"金融科技,顶级风投,期权激励,前沿技术",Airwallex
