岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
高级Python研发工程师,3-5年,本科,全职,A轮,上海,15k-30k,"商业保险,年度旅游,带薪年病假,弹性工作",贝米钱包
PYTHON开发工程师,1-3年,本科,全职,天使轮,上海,8k-15k,五险一金,译会科技
Python开发工程师,3-5年,大专,全职,上市公司,深圳,18k-25k,"团队氛围,高速发展,互联网金融,五险一金",众禄金融
python开发工程师,1-3年,不限,全职,不需要融资,杭州,6k-10k,"双休,五险,工作8小时,法定节假日",健培
Python工程师,不限,本科,全职,不需要融资,广州,10k-15k,"弹性上下班,六险一金,周末双休",武汉佰钧成技术有限公司
Python,3-5年,本科,全职,A轮,上海,15k-25k,"公司氛围好,扁平管理,年度旅游,带薪年假",上海哈杜
Python开发工程师,不限,本科,全职,A轮,上海,13k-25k,"工程师文化,年轻,大牛,爽",谷露软件
Python开发工程师,5-10年,本科,全职,上市公司,上海,15k-25k,"团队好,发展快,福利全",阅文集团
Python,1-3年,本科,全职,B轮,苏州,6k-12k,"带薪年假,定期体检,五险一金,福利多多",问卷网@爱调研
python工程师,3-5年,本科,全职,B轮,北京,10k-15k,"期权,扁平管理,成长快,弹性工作",SpeedyCloud
python工程师,3-5年,大专,全职,不需要融资,武汉,8k-12k,"五险一金,员工旅游,休闲餐点,扁平管理",北蚁
Python研发工程师,1-3年,本科,全职,A轮,武汉,15k-25k,技术实力强 团队氛围佳,卓翰科技
Python 工程师,3-5年,大专,全职,不需要融资,中山,8k-12k,"弹性工作,五险一金,年终奖金,节日福利",区块互连
Python开发,1-3年,本科,全职,不需要融资,深圳,9k-18k,项目好，福利好发展好,博悦科创
Python开发工程师,1-3年,本科,全职,A轮,深圳,8k-10k,"六险一金,12天年假,专业培训,技术提升",达观数据
高级Python研发工程师,3-5年,本科,全职,A轮,上海,15k-30k,"商业保险,年度旅游,带薪年病假,弹性工作",贝米钱包
PYTHON开发工程师,1-3年,本科,全职,天使轮,上海,8k-15k,五险一金,译会科技
Python开发工程师,3-5年,大专,全职,上市公司,深圳,18k-25k,"团队氛围,高速发展,互联网金融,五险一金",众禄金融
python开发工程师,1-3年,不限,全职,不需要融资,杭州,6k-10k,"双休,五险,工作8小时,法定节假日",健培
Python工程师,不限,本科,全职,不需要融资,广州,10k-15k,"弹性上下班,六险一金,周末双休",武汉佰钧成技术有限公司
Python,3-5年,本科,全职,A轮,上海,15k-25k,"公司氛围好,扁平管理,年度旅游,带薪年假",上海哈杜
Python开发工程师,不限,本科,全职,A轮,上海,13k-25k,"工程师文化,年轻,大牛,爽",谷露软件
Python开发工程师,5-10年,本科,全职,上市公司,上海,15k-25k,"团队好,发展快,福利全",阅文集团
Python,1-3年,本科,全职,B轮,苏州,6k-12k,"带薪年假,定期体检,五险一金,福利多多",问卷网@爱调研
python工程师,3-5年,本科,全职,B轮,北京,10k-15k,"期权,扁平管理,成长快,弹性工作",SpeedyCloud
python工程师,3-5年,大专,全职,不需要融资,武汉,8k-12k,"五险一金,员工旅游,休闲餐点,扁平管理",北蚁
Python研发工程师,1-3年,本科,全职,A轮,武汉,15k-25k,技术实力强 团队氛围佳,卓翰科技
Python 工程师,3-5年,大专,全职,不需要融资,中山,8k-12k,"弹性工作,五险一金,年终奖金,节日福利",区块互连
Python开发,1-3年,本科,全职,不需要融资,深圳,9k-18k,项目好，福利好发展好,博悦科创
Python开发工程师,1-3年,本科,全职,A轮,深圳,8k-10k,"六险一金,12天年假,专业培训,技术提升",达观数据
Python开发,3-5年,本科,全职,B轮,苏州,15k-25k,"带薪年假,五险一金,期权奖励,定期体检",问卷网@爱调研
Python软件开发,1-3年,本科,全职,不需要融资,杭州,10k-15k,高薪、五险一金、氛围好,健培
Python,3-5年,大专,全职,不需要融资,武汉,15k-30k,"牛人团队,薪资高,福利好",武汉佰钧成技术有限公司
Python开发工程师,1-3年,本科,全职,不需要融资,广州,9k-15k,"专业团队,年终奖金,六险一金",CNICG
Python开发工程师,1-3年,本科,全职,未融资,南昌,6k-8k,"帅哥美女多,福利房,过节福利,环境好",中至科技
Python,3-5年,不限,全职,不需要融资,广州,10k-16k,五险一金 工作环境好 弹性工作时间,云房数据
Python,3-5年,本科,全职,不需要融资,上海,20k-30k,"团队氛围好,发展空间大",内蒙古君正网贷
Python开发工程师,1-3年,本科,全职,D轮及以上,济南,4k-8k,"五险一金,福利好",赤子城
Python研发工程师,1-3年,本科,全职,A轮,西安,7k-10k,"深度学习,人工智能,精英团队,研发工程师",VMAXX
Python开发工程师,1-3年,本科,全职,A轮,上海,8k-10k,"六险一金,12天年假,专业培训,专业提升",达观数据
Python,3-5年,本科,全职,A轮,上海,15k-30k,技术大牛,亿可能源
Python工程师,1-3年,本科,全职,D轮及以上,上海,15k-25k,弹性工作 年终奖 学习空间 高并发,饿了么
Python开发工程师,3-5年,硕士,全职,未融资,西安,15k-30k,发展前景好,DJI大疆创新
Python开发工程师,3-5年,大专,全职,不需要融资,上海,20k-35k,"平均15薪,餐补,六险一金",趣头条
Python开发工程师,不限,大专,全职,不需要融资,广州,15k-22k,十三薪、品牌分奖励金,云房数据
Python工程师,3-5年,大专,全职,未融资,深圳,15k-28k,"发展前景好,双休,互联网金融",博奥特科技
python开发工程师,5-10年,本科,全职,C轮,苏州,15k-25k,"不用打卡,老板人好",智慧芽
Python软件开发工程师,1-3年,本科,全职,不需要融资,上海,10k-15k,"五险一金,带薪年假,弹性工作,氛围自由",瞬联软件科技（北京）有限公司
python开发工程师,1-3年,本科,全职,不需要融资,杭州,9k-15k,高薪酬领导nice,通力互联
Python开发工程师,1-3年,本科,全职,B轮,上海,15k-25k,福利好、发展前景大、工作氛围好、妹子多,进馨科技
Python工程师,1-3年,本科,全职,不需要融资,厦门,8k-16k,弹性上班、五险一金、绩效奖金、年终奖金；,多快好省
python研发工程师,1年以下,硕士,全职,B轮,北京,15k-30k,"飞速发展,技术氛围浓,待遇好,发展快",数美
Python中级工程师,1-3年,本科,全职,A轮,廊坊,8k-10k,"五险一金,带薪年假",ZingFront智线
python开发,3-5年,大专,全职,不需要融资,杭州,10k-20k,"项目大,平台优,技术新,发展好",武汉佰钧成技术有限公司
Python开发,3-5年,本科,全职,B轮,上海,12k-24k,"五险一金,季度旅游,生日会,带薪年假",问卷网@爱调研
Python开发工程师,1-3年,本科,全职,D轮及以上,北京,15k-30k,期权,小米
Python工程师,3-5年,本科,全职,B轮,北京,15k-25k,"大牛多,平台好,待遇好,流程规范",新东方教育行业研究院
Python开发工程师,3-5年,本科,全职,未融资,北京,15k-20k,专注于科技金融,奇虎360金融
Python工程师,3-5年,本科,全职,A轮,西安,15k-20k,"目标导向,团队协作",Demo++
python开发工程师,1-3年,本科,全职,上市公司,深圳,15k-20k,"年终多薪,期权激励,免费班车,大数据开发",博雅互动
Python开发,3-5年,本科,全职,A轮,上海,15k-25k,"技术大牛,各类补贴,氛围好,年终奖金",果雪科技
Python开发工程师,1-3年,本科,全职,不需要融资,南京,7k-12k,五险一金 工作氛围好 SAP上线中 双休,五星电器
python开发工程师,3-5年,本科,全职,C轮,北京,15k-30k,"股票期权,弹性工作制,行业龙头,地铁周边",会分期
Python,1-3年,本科,全职,A轮,上海,10k-15k,"福利好,发展空间大,年度旅游",钱研社
Python,3-5年,本科,全职,A轮,深圳,15k-30k,"海外手游,鹅厂大神,高配团队",乐易网络
Python开发工程师,不限,大专,全职,未融资,重庆,4k-8k,工资4K-8K,梦之想科技
Python,1-3年,本科,全职,未融资,深圳,10K-15K,双休！！！！,星煜互联
Python中级工程师,1-3年,本科,全职,A轮,廊坊,8k-15k,"五险一金,补充医疗险,房租补贴,带薪年假",ZingFront智线
Python,3-5年,本科,全职,未融资,宁波,10k-15k,出国机会，上升空间，踏实做事，靠谱,新希望软件
Python开发工程师,1-3年,大专,全职,未融资,郑州,5k-10k,"周末双休,年底双薪,全勤奖,外出旅游",郑州创恒实业有限公司
python研发工程师,1-3年,本科,全职,D轮及以上,南通,6k-11k,"领导好,有前景",帝联科技
