42万元,18m²,2.33万/m²,二手商铺,购物百货中心-临街,1层/共1层,空置中,面宽3.6m/层高5.5m/进深5m,餐饮美食,合生汇,"办公,学生,居民","杨浦区 五角场
                翔殷路1099号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.36km'], ['地铁10号线', 'B', '江湾体育场', '距离0.51km']]","[['上海市杨浦区翔殷路1099号合生汇B1', 'A', '宇微(合生汇店)', '距离0.06km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'B', 'FOND OF BAGS(百联又一城购物中心店)', '距离0.24km']]"
58万元,28m²,2.07万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽5m/层高4.5m/进深5.5m,餐饮美食,鞍山路商铺,"办公,学生,居民","杨浦区 控江路
                鞍山路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁8号线', 'A', '江浦路', '距离0.87km'], ['地铁10号线; 地铁8号线', 'B', '四平路', '距离0.89km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离0.60km'], ['上海市杨浦区黄兴路1618号大润发F2', 'B', '童年阳光(大润发店)', '距离1.66km']]"
386万元,105m²,3.68万/m²,二手商铺,临街门面-临街,1层/共5层,经营中,面宽10.1m/层高5.8m/进深10.3m,餐饮美食,五角场万达广场(商业),"办公,旅游,居民","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
2180万元,542m²,4.02万/m²,二手商铺,临街门面-临街,1层/共1层,经营中,面宽20m/层高5.5m/进深21m,餐饮美食,,"办公,旅游,居民","杨浦区 东外滩
                平凉路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '宁国路', '距离0.74km'], ['地铁12号线', 'B', '隆昌路', '距离1.15km']]","[['控江路645弄21-3临', 'A', '延吉社区第四睦邻中心', '距离2.00km'], ['上海市杨浦区延吉中路77-1号(近永吉路)', 'B', '农工商超市(永吉店)', '距离2.15km']]"
87.6万元,32.2m²,2.72万/m²,二手商铺,其他-临街,1层/共1层,经营中,面宽10m/层高4.5m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                喜茶(五角万达店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.09km'], ['地铁10号线', 'B', '五角场', '距离0.50km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心F5', 'A', 'Columbia(百联又一城购物中心店)', '距离0.17km'], ['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'B', '奢殿(百联又一城购物中心)', '距离0.18km']]"
50万元,19.35m²,2.58万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽4m/层高4.5m/进深4.5m,餐饮美食,五角场万达广场(商业),"办公,学生,居民","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
116.6万元,37.3m²,3.13万/m²,二手商铺,其他-临街,1层/共1层,经营中,面宽10m/层高4.6m/进深10m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                万达广场五角场店-南门","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '五角场', '距离0.23km'], ['地铁10号线', 'B', '江湾体育场', '距离0.33km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.23km'], ['上海市杨浦区淞沪路8号', 'B', '百联又一城购物中心', '距离0.24km']]"
385.6万元,92.56m²,4.17万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽11m/层高5.6m/进深8m,餐饮美食,五角场万达广场(商业),"办公,居民,旅游","杨浦区 中原
                国宾路36号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线', 'A', '江湾体育场', '距离0.14km'], ['地铁10号线', 'B', '五角场', '距离0.42km']]","[['上海市杨浦区淞沪路8号百联又一城购物中心1层', 'A', '奢殿(百联又一城购物中心)', '距离0.13km'], ['上海市杨浦区淞沪路8号百联又一城购物中心F2', 'B', 'edc(百联又一城购物中心店)', '距离0.15km']]"
1263万元,367.45m²,3.44万/m²,二手商铺,商业街店铺-临街,1层至2层/共2层,经营中,面宽17m/层高9m/进深10m,餐饮美食,,"办公,学生","杨浦区 鞍山
                鞍山新村","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁10号线; 地铁8号线', 'A', '四平路', '距离0.78km'], ['地铁8号线', 'B', '江浦路', '距离0.86km']]","[['杨浦区控江路1736号(近鞍山路)', 'A', '环球超市(控江路店)', '距离0.41km'], ['上海市杨浦区黄兴财富银座(国科路北)', 'B', '苑林生活超市', '距离1.78km']]"
75万元,30m²,2.5万/m²,二手商铺,社区底商-临街,1层/共1层,经营中,面宽5m/层高5.2m/进深6m,餐饮美食,,"办公,居民,旅游","杨浦区 五角场
                五角场广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
