,,,,,,,,,,,,[],[],[]
180万元,69m²,2.61万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽8m/层高5.5m/进深8m,餐饮美食,,"办公,居民,旅游","静安区 北京西路
                北京西路","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '南京西路', '距离0.72km'], ['地铁2号线; 地铁7号线', 'B', '静安寺', '距离0.82km']]","[['上海市静安区南京西路1038号', 'A', '梅陇镇伊势丹(梅龙镇店)', '距离0.48km'], ['上海市黄浦区进贤路134号(近茂名南路)', 'B', '茂隆(进贤路店)', '距离1.12km']]"
185万元,65m²,2.85万/m²,二手商铺,临街门面-临街,1层/共1层,空置中,面宽5m/层高5.5m/进深10m,,西藏南路775号,"办公,居民,旅游","静安区 西藏北路
                西藏南路775号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
285万元,120m²,2.38万/m²,二手商铺,社区底商-临街,1层/共1层,经营中,面宽10m/层高4.2m/进深11m,百货超市,北京西路与常德路交叉口,"办公,学生,居民","静安区 北京西路
                北京西路与常德路交叉口","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
300万元,63m²,4.76万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽9m/层高5.5m/进深7m,餐饮美食,,,"静安区 闸北公园
                吴江路步行街","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '南京西路', '距离0.25km'], ['地铁13号线', 'B', '淮海中路', '距离1.15km']]","[['上海市静安区南京西路1038号', 'A', '梅陇镇伊势丹(梅龙镇店)', '距离0.34km'], ['上海市黄浦区进贤路134号(近茂名南路)', 'B', '茂隆(进贤路店)', '距离0.92km']]"
350万元,96m²,3.65万/m²,二手商铺,写字楼配套-临街,1层/共1层,经营中,面宽9m/层高5m/进深10m,餐饮美食,698广场,"办公,学生,居民","静安区 南京西路
                南京西路698号","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁12号线', 'A', '南京西路', '距离0.57km'], ['地铁1号线; 地铁2号线; 地铁8号线', 'B', '人民广场', '距离0.99km']]","[['上海市静安区南京西路1038号', 'A', '梅陇镇伊势丹(梅龙镇店)', '距离0.71km'], ['上海市黄浦区进贤路134号(近茂名南路)', 'B', '茂隆(进贤路店)', '距离1.11km']]"
1025万元,205m²,5万/m²,二手商铺,临街门面-临街,1层至2层/共2层,经营中,面宽13m/层高5.8m/进深9m,美容美发,新闸路商铺,其他,"静安区 新闸路 
                临街商铺","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁2号线; 地铁7号线', 'A', '静安寺', '距离0.20km'], ['地铁1号线; 地铁7号线', 'B', '常熟路', '距离1.18km']]","[['上海市静安区南京西路1038号', 'A', '梅陇镇伊势丹(梅龙镇店)', '距离1.28km'], ['上海市静安区恒通路268号', 'B', '凯德星贸(恒通路店)', '距离2.30km']]"
160万元,65.66m²,2.44万/m²,二手商铺,临街门面-临街,1层/共1层,空置中,面宽8m/层高5m/进深8m,,长寿路商铺,"办公,居民,旅游","静安区 静安寺
                长寿路/江宁路(路口)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']",[],[]
150万元,61m²,2.46万/m²,二手商铺,商业街店铺-临街,1层/共1层,经营中,面宽6m/层高4.5m/进深9m,餐饮美食,,"办公,居民,旅游","静安区 大宁
                大宁国际商业广场","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁1号线', 'A', '延长路', '距离0.38km'], ['地铁1号线', 'B', '上海马戏城', '距离0.62km']]","[['上海市静安区俞泾港路1-11号', 'A', '大润发(平型关店)', '距离1.59km'], ['上海市静安区灵石路737弄31乙', 'B', '联华超市(万荣小区东南)', '距离1.67km']]"
73万元,36m²,2.03万/m²,二手商铺,社区底商-临街,1层/共1层,空置中,面宽5.2m/层高4.5m/进深6.3m,餐饮美食,延长中路商铺,"办公,学生,居民","静安区 大宁
                1点点(延长店)","['客梯', '货梯', '中央空调', '停车位', '天然气', '电话/网络', '暖气', '扶梯', '上水', '下水', '排烟', '排污', '管媒', '380V', '可明火', '外摆区']","[['地铁1号线', 'A', '延长路', '距离0.62km'], ['地铁1号线', 'B', '上海马戏城', '距离1.19km']]","[['上海市静安区俞泾港路1-11号', 'A', '大润发(平型关店)', '距离1.63km'], ['上海市静安区灵石路737弄31乙', 'B', '联华超市(万荣小区东南)', '距离1.94km']]"
