四三五处置换油库项目建设工程中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-11-27】【字号 "
黔江区册山老街片区污水管网建设项目中标结果公告,招标代理机构：,重庆市北恒建筑工程有限公司,949.733108,"
				                【信息时间：2019-11-21】【字号 "
S545詹吉路K11+311至K16+711段路面大修工程中标结果公告,招标代理机构：,重庆市实力公路开发有限公司,1170,"
				                【信息时间：2019-11-19】【字号 "
2019年玉峰山镇“四好农村路”（通组硬化路）建设工程（河大路、徐连路）中标结果公告,重庆市渝北区玉峰山镇人民政府,四川盛锋建筑工程有限公司,874.3993,"
				                【信息时间：2019-11-18】【字号 "
大渡口区生活垃圾收运系统清洁工程钓鱼嘴转运站除尘除臭系统采购及安装中标结果公告,招标代理机构：,厦门佰欧科技工程有限公司,127.16,"
				                【信息时间：2019-11-13】【字号 "
长寿区规划县道龙河至新市段升级改造工程施工监理(第二次)中标结果公告,"
      ","
      ",,"
				                【信息时间：2019-10-31】【字号 "
2019年兴隆镇“四好农村路”（通组硬化公路）建设工程二标段中标结果公告,重庆市渝北区兴隆镇人民政府,重庆远华建筑有限公司,5,"
				                【信息时间：2019-10-22】【字号 "
长寿区江南街道五堡村精准帮扶项目中标结果公告,招标代理机构:,重庆霆峻交通工程有限责任公司,836.490381,"
				                【信息时间：2019-10-23】【字号 "
福城东干道附属工程（第二次）中标结果公告,招标代理机构：重庆佳宏招标代理有限公司,重庆建工第八建设有限责任公司,2976,"
				                【信息时间：2019-10-21】【字号 "
忠县忠州街道磨盘村、复旦村农村移民安置区精准帮扶项目（磨盘村居民点道路和便民服务中心工程）中标结果公告,忠县人民政府忠州街道办事处,             重庆颂鸿建筑工程有限公司,725,"
				                【信息时间：2019-10-21】【字号 "
重庆首创农业开发有限公司辣椒系列产品精深加工项目中标结果公告,招标代理机构： ,四川华景智农农业开发有限责任公司,270.00,"
				                【信息时间：2019-10-21】【字号 "
巴南区木洞镇杨家洞村等（4）个村土地整理项目中标结果公告,招标代理机构：重庆宏达招标代理有限公司,重庆宏鑫建设集团有限公司,447.4091,"
				                【信息时间：2019-10-22】【字号 "
张家花园幼儿园装修工程中标结果公告,招标代理机构：重庆顶轶建设工程项目咨询有限公司,,,"
				                【信息时间：2019-10-22】【字号 "
永川区大南门人行天桥新建工程中标结果公告,招标代理机构：南京永道工程咨询有限公司,四川中泰豪庭实业有限公司,10521522.55,"
				                【信息时间：2019-10-22】【字号 "
2019年兴隆镇“四好农村路”（通组硬化公路）建设工程一标段中标结果公告,重庆市渝北区兴隆镇人民政府,重庆远华建筑有限公司,5,"
				                【信息时间：2019-10-22】【字号 "
长寿区长寿湖镇湖滨路南街区环境综合整治项目中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-10-23】【字号 "
合川区中医院污防及环境整治工程（第二次）中标结果公告,招标代理机构：,重庆市合川区龙市建筑工程有限公司,390.668681,"
				                【信息时间：2019-10-24】【字号 "
秀山县峨溶至毛沟公路工程中标结果公告,招标代理机构：四川国泰工程管理咨询有限公司,重庆市秀山公路工程有限公司,461.2399,"
				                【信息时间：2019-10-25】【字号 "
渝中区长江二路龙湖E馆段道路建设房屋征收项目中标结果公告,重庆市渝中区住房与城市建设委员会、重庆市渝中区棚户区（危旧房）改造与征收工作第三指挥部,,综合单价为138.6元/平方米，暂定总价为1191997.42元。,"
				                【信息时间：2019-10-25】【字号 "
石柱县万安街道千景奎庭房地产开发项目电梯采购及安装工程中标结果公告,招标代理机构：重庆西恒工程咨询有限公司,重庆鼎兴电梯工程有限公司,1156.8,"
				                【信息时间：2019-10-25】【字号 "
开州区临江至竹溪污水管网建设项目勘察中标结果公告,招标代理机构：重庆泰锐建设工程项目咨询有限公司,中佳勘察设计有限公司,《工程勘察设计收费管理规定》的通知（计价格〔,"
				                【信息时间：2019-10-25】【字号 "
黔江区板栗山安置房项目二标段监理（第三次）中标结果公告,重庆市黔江区城市建设投资（集团）有限公司,重庆智能工程监理有限公司,130.6512,"
				                【信息时间：2019-10-25】【字号 "
永乐镇白龙村产业路建设项目中标结果公告,奉节县永乐镇人民政府,重庆市仁信建筑工程有限公司,230.1988 ,"
				                【信息时间：2019-10-25】【字号 "
奉节县夔门街道林家湾小区综合帮扶项目（三期）中标结果公告,奉节县夔门街道办事处,重庆市盛世华建筑工程有限公司,327.374085,"
				                【信息时间：2019-10-25】【字号 "
重钢片区土地整治及市政基础设施项目EPC总承包的中标结果公示,,,,"
				                【信息时间：2019-10-25】【字号 "
桃花源景区配套基础设施建设—古城品质提升外立面装饰工程中标结果公告,酉阳桃花源实业开发投资有限责任公司,中欧国际建工集团有限公司,12258418.5,"
				                【信息时间：2019-10-28】【字号 "
石柱县体育馆至万寿山农村公路改建工程监理中标结果公告,招标代理机构：,重庆中宇工程咨询监理有限责任公司,报价费率1.9%,"
				                【信息时间：2019-10-28】【字号 "
奉节县永乐镇陈家社区农村移民安置区精准帮扶项目中标结果公告,重庆奉节水电开发有限公司,中林国际建设有限公司,8438385.08,"
				                【信息时间：2019-10-28】【字号 "
璧山区留置场所宿舍楼、食堂等工程(第二次)中标结果公告,代理机构：,重庆明林建筑工程有限公司,9019777.87元,"
				                【信息时间：2019-10-29】【字号 "
厂房5号楼工程中标结果公告,,,,"
				                【信息时间：2019-10-29】【字号 "
赵家组团生态产业园标准厂房及配套工程（一期）设计中标结果公告,招标代理机构：,重庆迪赛因建设工程设计有限公司,《工程勘察设计收费管理规定》（计价格〔,"
				                【信息时间：2019-10-29】【字号 "
重庆市巴南区三级甲等医院建设项目医用固定家具采购及安装工程中标结果公告,招标代理机构：,苏州德品医疗科技股份有限公司,,"
				                【信息时间：2019-10-29】【字号 "
万盛经开区新华小学教学综合楼工程中标结果公告,招标代理机构：福建省建融工程咨询有限公司西南分公司,新余市中天路桥工程有限责任公司, ,"
				                【信息时间：2019-10-29】【字号 "
璧山消防指挥中心综合消防站建设项目设计中标结果公告,招标代理机构：,重庆同乘工程咨询设计有限责任公司,下浮百分率为,"
				                【信息时间：2019-10-29】【字号 "
界石镇2018年片区公路建设工程项目（第二次）中标结果公告,招标代理机构：,四川兴林建设工程有限公司 ,247.4477  ,"
				                【信息时间：2019-10-30】【字号 "
璧山区青杠片区定向经济适用房勘察设计中标结果公告,重庆两山建设投资有限公司,苏交科集团股份有限公司,勘察报价：,"
				                【信息时间：2019-10-30】【字号 "
开州区2018年深化脱贫攻坚农村公路建设项目五通乡（田冲—桐林村道硬化工程）中标结果公告,招标代理机构：,四川承烨建设工程有限公司,248.3899 ,"
				                【信息时间：2019-10-30】【字号 "
葛兰新市污水干管工程（二期）中标结果公告,"
      ","
      ","
      ","
				                【信息时间：2019-10-30】【字号 "
忠县任家镇老鹤村农村移民安置区精准帮扶项目中标结果公告,招标代理机构：重庆恒诚建筑技术有限公司,重庆市北恒建筑工程有限公司,863.195246,"
				                【信息时间：2019-10-30】【字号 "
奉节县人民医院扩建工程室外给排水工程和污水处理站工程中标结果公告,奉节县人民医院,四川佳栩建筑工程有限公司,624.630849,"
				                【信息时间：2019-10-30】【字号 "
奉节县永乐镇大坝村农村移民安置精准帮扶项目中标结果公告,重庆奉节水电开发有限公司,重庆铭丰建筑工程有限公司,810.686749,"
				                【信息时间：2019-10-30】【字号 "
大渡口区石林寺连线桥工程中标结果公告,重庆建桥实业发展有限公司,  ,1242.923674,"
				                【信息时间：2019-10-30】【字号 "
