上海市嘉定区公路管理所,和桥路（红星路-嘉罗公路）养护维修工程,上海市浦东新区徐行镇,"上海忠辰建设工程有限公司,上海杜鹃工程设计与顾问有限公司",1378万元,2019-09-24 09:30:00
上海市虹口区市政和水务管理中心,星港国际中心项目周边市政市容综合整治项目工程,星港国际中心周边东长治路、东大名路、海门路3条道路,"上海市岩土地质研究院有限公司,上海市政建设有限公司,上海市政工程设计研究总院（集团）有限公司",4140万元,2019-09-23 14:30:00
上海市徐汇区人民政府徐家汇街道办事处,2019年南丹东路周边整治工程,南丹东路沿线,上海汇成建设发展有限公司,915万元,2019-09-12 09:30:00
上海市青浦区排水管理所,香花桥街道2019年雨污混接改造工程,青浦区香花桥街道香花西区、香花东区、香花中心区、香花新村别墅区等16个居民小区（建筑面积约154261平方米）。,浙江中南建设集团有限公司,1955万元,2019-09-18 09:30:00
上海市闵行区浦江镇水务管理站,闵行区2019年浦江镇建中村中小河道整治工程,浦江镇,上海奉贤市政建设工程有限公司,2033万元,2019-08-19 09:30:00
上海市黄浦区市政工程管理所,黄浦区小东门616、735街坊地块项目跨外马路连桥,黄浦区外马路上方（西接322-01地块建筑，东连外滩滨江岸线贯通工程）,"江苏省建筑工程集团有限公司,华东建筑设计研究院有限公司",3062万元,2019-08-26 10:00:00
上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-罗锦路东段（莲花南路-虹梅南路）,罗锦路东段,红阳建工集团有限公司,1225万元,2019-07-04 09:00:00
上海长宁花园住宅置换有限公司,武夷路1号块城市更新项目,武夷路304号、320弄,上海都市建筑设计有限公司,237万元,2019-06-20 08:30:00
上海市浦东新区新场镇人民政府,新场镇污水治理二期工程,新场镇果园中心村等6个农民集中居住区域,上海水务建设工程有限公司,2068万元,2019-06-24 13:30:00
上海市嘉定区外冈镇人民政府,嘉定区外冈中学校舍维修工程,恒飞路688号,上海忠辰建设工程有限公司,580万元,2019-06-24 13:30:00
上海市徐汇区交通管理中心,徐汇区非机动车停车点改造工程（一期）3标段,武康路、湖南路、天平路等163条道路,上海徐汇市政工程有限公司,1223万元,2019-07-10 14:00:00
上海市嘉定区教育局,嘉定新城马陆社区27-2地块九年学校新建工程,东至康年路，南至崇教路，西至永盛南路，北至崇福路,上海江南建筑设计院有限公司,43万元,2019-06-21 09:30:00
上海市宝山区公路管理中心,联杨路（嘉罗公路-月罗公路）大修工程,上海市宝山区罗店镇，北起嘉罗公路，南至月罗公路，全长1395米,上海宝山公路工程建设有限公司,706万元,2019-06-11 09:30:00
上海浦西投资有限公司,2019年职工家园外墙整修及5号楼改造工程,工业园区新科路225弄,中青建安建设集团有限公司,811万元,2019-06-19 14:00:00
上海泖港资产经营管理有限公司,松江区泖港镇2018年断头河整治工程-1标段,泖港镇,上海浩淼建筑工程有限责任公司,3433万元,2019-06-12 09:30:00
上海泖港资产经营管理有限公司,松江区泖港镇2018年断头河整治工程-3标段,泖港镇,上海麒盛建设工程有限公司,1723万元,2019-06-13 09:30:00
复旦大学,复旦大学张江复旦国际创新中心微纳电子与量子科技融合创新大楼,张江校区,"上海申元岩土工程有限公司,上海建筑设计研究院有限公司",665万元,2019-05-27 09:30:00
上海市徐汇区教育局,田林三中漕东校区2019年修缮工程,漕东支路101号,上海海怡建设（集团）有限公司,738万元,2019-05-27 09:30:00
上海仓桥经济联合总公司,松江区富永路（玉阳路-盐仓路）中修工程,富永路（北起玉阳路交叉口，南至盐仓路交叉口，全长734.54m）,上海麒盛建设工程有限公司,525万元,2019-05-17 09:30:00
中国科学院上海技术物理研究所,红外半导体材料与器件设计楼修缮项目,赤峰路445号,上海凯栋建筑装潢工程有限公司,412万元,2019-05-21 14:00:00
复旦大学,复旦大学张江复旦国际创新中心生物与医学科技融合创新大楼,张江校区,"上海申元岩土工程有限公司,上海建筑设计研究院有限公司",1466万元,2019-05-27 09:30:00
上海市普陀区市政管理中心,梅岭南路（兰溪路～杏山路）道路大修工程,北起兰溪路，向南至梅岭支路后折向西至杏山路。,上海普陀市政建设养护有限公司,738万元,2019-05-22 10:00:00
上海市青浦区绿化管理所,青浦区夏阳湖城市公共绿地改造项目,青浦区夏阳湖绿地，东至青龙路、西至华青南路、南至青龙路、北至青舟路。,上海景观实业发展有限公司,478万元,2019-05-27 09:00:00
上海市普陀区市政管理中心,梅岭南路（兰溪路～杏山路）道路积水改善工程,梅岭南路（兰溪路～杏山路）,上海普陀市政建设养护有限公司,699万元,2019-05-29 09:30:00
上海市奉贤区奉城镇农业服务中心（上海市奉贤区奉城镇林业站）,奉贤区2019年奉城镇农村生活污水处理工程,项目涉及奉城镇15个村，共计8570户居民,上海沪闵建筑设计院有限公司,428万元,2019-05-28 10:20:00
上海淀山湖新城发展有限公司,漕平路淀浦河桥新建及朱家角漕平路自来水厂改造工程,青浦区朱家角古镇保护区西侧漕平路。南至漕平支路、北至珠湖路,同济大学建筑设计研究院（集团）有限公司,285万元,2019-05-30 09:00:00
上海市浦东新区康桥镇人民政府,康桥镇农村污水治理工程,康桥镇域,"上海市浦东新区建设（集团）有限公司,上海浦东建筑设计研究院有限公司",7140万元,2019-05-27 10:30:00
上海市青浦区金泽镇人民政府,青浦区岑卜路（规划二路-规划一路）新建工程,青浦区金泽镇西岑单元（JZ03），项目范围：东至规划一路、西至规划二路,"上海盛鑫建设工程有限公司,同济大学建筑设计研究院（集团）有限公司,中勘冶金勘察设计研究院有限责任公司",18018万元,2019-05-27 09:00:00
上海市奉贤区奉城镇城市网格化综合管理中心(上海市奉贤区奉城镇城市综合管理和应急联动中心),2019年奉贤区奉城镇蔡家桥村村庄改造工程,奉城镇蔡家桥村,上海坎赛水利市政工程有限公司,1338万元,2019-05-24 09:15:00
上海旅游高等专科学校,上海旅游高等专科学校51-52号宿舍楼维修项目,海思路500号,上海华地建设工程有限公司,1054万元,2019-05-24 13:45:00
上海市徐汇区教育局,高一小学总校2019年修缮工程,康平路4弄9号,上海皓科建设发展有限公司,625万元,2019-05-28 09:30:00
复旦大学,复旦大学张江复旦国际创新中心三号科研楼,张江校区,"上海申元岩土工程有限公司,上海建筑设计研究院有限公司",1130万元,2019-05-27 09:30:00
上海市浦东新区唐镇人民政府,唐镇农村污水治理工程,唐镇镇域,"上海京海工程技术有限公司,上海浦东建筑设计研究院有限公司,上海市浦东新区建设（集团）有限公司",13004万元,2019-05-27 09:30:00
上海市杨浦区教育基建中心,二联小学教学楼房修工程,延吉中路224号,上海舜申建筑工程有限公司,408万元,2019-05-22 10:00:00
上海华漕城镇投资建设发展有限公司,纪王公园改造工程项目,华漕镇纪高路600号,上海浦沅建设发展有限公司,443万元,2019-05-16 10:30:00
上海新九星企业发展股份有限公司,九星城（九宫格）,上海市闵行区七宝镇七宝社区MHPO-0105单元东至乐中路西至智联路南至宝兰路北至星风路,上海地矿工程勘察有限公司,370万元,2019-05-27 10:00:00
上海泖港资产经营管理有限公司,松江区泖港镇2018年断头河整治工程-2标段,泖港镇,上海金岭建设有限公司,2213万元,2019-06-12 13:30:00
上海泖港资产经营管理有限公司,松江区泖港镇2018年断头河整治工程-4标段,泖港镇,北京通成达水务建设有限公司,1035万元,2019-06-13 13:30:00
上海市松江区水利建设项目管理服务中心,松江区2018年美丽乡村泖港镇泖港村、胡光村中小河道整治工程,泖港镇,上海麒盛建设工程有限公司,3265万元,2019-06-04 13:30:00
上海市松江区水利建设项目管理服务中心,松江区2018年叶榭镇徐姚村美丽乡村中小河道整治工程,叶榭镇,上海浦岗建设工程有限公司,3080万元,2019-06-04 09:30:00
上海嘉定轨道交通建设投资有限公司,云翔拓展社区嘉绣路（封浜东~惠裕路）道路新建工程,南翔镇嘉绣路（封浜东~惠裕路）,上海山南勘测设计有限公司,2万元,2019-06-20 09:30:00
上海市浦东新区大团镇人民政府,大团镇劣V类水体综合整治工程,大团镇,上海顶新工程规划设计有限公司,524万元,2019-06-19 14:00:00
上海市浦东新区大团镇人民政府,大团镇劣V类水体综合整治工程,大团镇,上海顶新工程规划设计有限公司,126万元,2019-06-20 14:30:00
上海市浦东新区泥城镇人民政府,泥城镇劣V类水体综合整治工程,泥城镇,上海宏波工程咨询管理有限公司,192万元,2019-06-19 13:30:00
上海市宝山区市政工程管理中心,宝山区扬尘控制重点监管区域专项整治工程II标段,上海市宝山区宝杨路等43条道路及1座大桥,合肥达美建筑装饰工程有限责任公司,282万元,2019-06-20 09:30:00
上海市宝山区市政工程管理中心,宝山区扬尘控制重点监管区域专项整治工程I标段,上海市宝山区宝杨路等43条道路及1座大桥,上海吴淞市政建设有限公司,1234万元,2019-06-19 13:30:00
上海市宝山区罗店镇人民政府,罗店镇池沟等河道综合整治工程,罗店镇张士村,上海奉贤水利建设有限公司,601万元,2019-06-17 10:00:00
上海服装（集团）有限公司,上服创意园提升改造,茅台路553号,"上海创宏建设集团有限公司,青岛时代建筑设计有限公司",1445万元,2019-06-20 10:00:00
上海市长宁区教育局基建管理站,2019年愚园路第一幼儿园凯欣及安化分园消防改造工程,安化路522号及安化路20号,深圳广侨建设股份有限公司,279万元,2019-06-18 09:30:00
上海交通大学,上海交通大学新建闵行校区海洋科学大楼,闵行区,"上海友康建筑设计有限公司,株式会社久米設計",750万元,2019-06-13 10:30:00
上海市宝山区市政工程管理中心,宝杨路（同济路-双庆路）道路改建工程一标段,上海市宝山区友谊街道宝杨路基地东至双庆路西至同济路,上海宝建（集团）有限公司,588万元,2019-06-18 13:30:00
上海市崇明区横沙乡人民政府,2019年横沙乡丰乐村区级乡村振兴示范村建设工程,横沙乡丰乐村,上海宸谊建设有限公司,1578万元,2019-06-20 09:30:00
上海市浦东新区大团镇人民政府,大团镇污水治理二期工程,大团镇南湾新村等14个老旧小区及水闸新村等。沿永春东路等9条道路以及北市河两侧。,上海南汇建工建设（集团）有限公司,6616万元,2019-06-17 14:00:00
上海市闵行区颛桥镇城市网格化综合管理中心,沪闵路3131弄街坊道路大修工程项目,沪闵路3131弄,上海颛桥建筑工程有限公司,883万元,2019-06-20 14:00:00
上海市长宁区教育局基建管理站,2019年建青实验学校幼儿园和室外总体等大修工程,古羊路900号,上海华地建设工程有限公司,1382万元,2019-05-30 09:30:00
上海崇明生态城镇投资建设有限公司,C湖公园地下停车库,城桥镇,上海崇明市政工程有限公司,2332万元,2019-06-13 10:00:00
上海大学,上海大学高水平地方高校试点建设项目（超级实验室装饰装修工程项目——宝山校区）,上大路99号,上海浦岗建设工程有限公司,751万元,2019-05-24 10:30:00
上海市浦东新区大团镇人民政府,大团镇污水治理一期工程,7个老旧小区及上塘新村；大团镇文化服务中心等3家公益单位沿线；洪通路、墩平路沿线,上海南汇建工建设（集团）有限公司,1537万元,2019-06-17 14:00:00
上海市路政局(上海市公路管理处、上海市市政工程管理处),S224嘉松北路（K0+000～K4+280）道路大修工程,嘉松北路（K0+000～K4+280）段，北起沪宜公路，南至大球菇桥,上海瑞桥土木工程咨询有限公司,248万元,2019-05-31 10:00:00
上海市静安区市政工程和配套管理中心,汶水路（共和新路—粤秀路）道路大修工程,汶水路（共和新路—粤秀路）,"上海千年城市规划工程设计股份有限公司,浙江舜江建设集团有限公司",3645万元,2019-06-12 09:30:00
上海工程技术大学,上海工程技术大学松江校区东田径场维修工程,龙腾路333号,红太阳建设股份公司,404万元,2019-06-04 13:30:00
上海市静安区市政工程和配套管理中心,保德路（共和新路—江杨南路）道路大修工程,保德路（共和新路—江杨南路）,"上海鼎立工程建设有限公司,上海锦兴市政设计咨询有限公司",3250万元,2019-06-12 10:30:00
上海市静安区卫生和计划生育委员会（上海市静安区中医药发展办公室）,上海市第三康复医院改扩建工程,交城路100号内,上海建工五建集团有限公司,3109万元,2019-06-21 09:30:00
上海肖塘投资发展有限公司,南桥新城18单元02-04地块（暂定名）项目,上海市奉贤区基地东至南横泾西至沪杭公路南至北虹新村北至建设用地,"江苏科信岩土工程勘察有限公司,上海奉贤建筑设计有限公司",1846万元,2019-06-21 10:20:00
上海市长宁区教育局基建管理站,2019年仙霞路第二幼儿园总分园全项目大修工程,茅台路460弄32号，茅台路255弄14号,上海宝文市政工程股份有限公司,470万元,2019-05-31 09:30:00
上海闵行城市建设投资开发有限公司,闵行区马桥完中项目（O2C-03地块）,位于马桥镇，东至中裕路，南近北松公路，西近昆阳路，北至用地红线。,上海建工四建集团有限公司,23294万元,2019-07-02 14:00:00
上海市徐汇区民防办公室,徐汇区华石路公共绿地民防工程,华石路北侧公共绿地地下空间，东至三汇路，南至华石路，西至田川路，北至尚汇豪庭,上海市基础工程集团有限公司,1914万元,2019-06-24 09:30:00
上海现代制药股份有限公司,新型制剂产业战略升级项目,上海市浦东新区建陆路378号,上海建工五建集团有限公司,39773万元,2019-06-12 13:30:00
上海沪洋高速公路发展有限公司,S2沪芦高速公路大修工程1标,S2沪芦高速公路K27+500～K69+809,中铁四局集团第四工程有限公司,11684万元,2019-06-20 10:30:00
上海闵行城市建设投资开发有限公司,闵行区淡水河四期（银都路-六磊塘）河道整治工程,银都路-六磊塘,上海水务建设工程有限公司,3810万元,2019-06-21 09:30:00
上海市徐汇区交通管理中心,徐汇区非机动车停车点改造工程（一期）1标段,武康路、湖南路、天平路等163条道路,上海汇众建设管理有限公司,1126万元,2019-07-10 09:30:00
上海公安学院,浦东校区大礼堂、新行政楼修缮工程二标段（新行政楼）,崇景路100号（3幢、40幢）,上海秋元华林建设集团有限公司,758万元,2019-06-10 14:30:00
上海马桥城市投资建设管理有限公司,中青路207号厂房及办公用房装修工程,中青路207号,上海开天建设（集团）有限公司,3885万元,2019-06-24 13:30:00
上海市徐汇区建设和交通委员会,宣威路（规划一路-武宣路）道路新建工程,西起规划一路，东至武宣路,上海徐汇市政工程有限公司,2862万元,2019-06-24 09:30:00
上海汇金百货虹桥有限公司,上海汇金百货虹桥店装修工程,天山路900号101室等,华亮建设集团股份有限公司,2028万元,2019-06-26 10:00:00
上海市奉贤区四团镇社区事务受理服务中心,奉贤区四团镇生活驿站装修工程,四团镇四新街17号,上海锦循建筑工程有限公司,568万元,2019-06-06 10:00:00
上海市宝山区市政工程管理中心,宝山区扬尘控制重点监管区域专项整治工程III标段,上海市宝山区宝杨路等43条道路及1座大桥,上海协翔市政工程有限公司,67万元,2019-06-20 13:30:00
上海市长宁区教育局基建管理站,2019年辅读学校教学楼大修工程,虹古路410弄9号,上海咸晟集团有限公司,953万元,2019-06-12 09:30:00
上海市浦东新区书院镇人民政府,书院镇劣Ⅴ类水体综合整治工程,书院镇域内,上海金地工程勘察有限公司,195万元,2019-06-24 10:00:00
上海脑科学与类脑研究中心,上海脑科学与类脑研究中心装修工程项目,张江高科技园区集慧路193号12号楼1-5层及海科路333号C座3层,上海建溧建设集团有限公司,1493万元,2019-06-20 10:00:00
上海公路投资建设发展有限公司,浦星公路（南行港路-人民塘路）改建工程,上海市奉贤区，北起南行港路，南至人民塘路,"上海山南勘测设计有限公司,中交第一公路勘察设计研究院有限公司,同济大学建筑设计研究院（集团）有限公司",8361万元,2019-06-24 09:30:00
上海市虹口区绿化管理事务中心,虹口区建国七十周年绿化景观保障项目（绿地提升与整治）,海宁路（河南北路-溧阳路）、周家嘴路（安国路-大连路）、三号线轻轨沿线（东宝兴路-三门路）、逸仙路高架（曲阳路-三门路）、东大名路杨树浦路（武昌路-大连路）,上海园林绿化建设有限公司,1821万元,2019-06-24 09:00:00
上海茸北工业经济发展有限公司,松江区中创路 (卖花桥路-现状道路 )新建工程(一标段 ),上海市松江区中山街道工业园,上海开天建设（集团）有限公司,1458万元,2019-06-21 09:30:00
上海市宝山区体育局,宝少体体育馆及宿舍楼修缮工程,共康东路188号宝山区少年儿童业余体育学校（宝少体）内,南京国豪装饰安装工程股份有限公司,581万元,2019-06-18 13:30:00
青浦区华新镇嵩山村村民委员会,华新镇嵩山村便民服务中心装修工程,青浦区华新镇嵩山村,南京三惠建设工程股份有限公司,385万元,2019-06-18 14:00:00
上海市浦东新区惠南镇人民政府,惠南镇劣Ⅴ类水体综合整治工程,惠南镇区域内,上海宏波工程咨询管理有限公司,440万元,2019-06-20 14:00:00
上海市浦东新区惠南镇人民政府,惠南镇劣Ⅴ类水体综合整治工程,惠南镇区域内,上海山南勘测设计有限公司,106万元,2019-06-24 13:30:00
