8000元/月,2.67元/m²/天,100m²,临街门面,24个月,宝山区 -罗南,大华二路/大华路(路口),8000元/月,押1付1,24个月,物业类型,二手房,临街门面-临街,空置中,餐饮美食-餐馆,1层/共1层,面宽8m、层高5m、进深10m,办公、学生、居民,暂无数据,"['天燃气', '上水', '下水', '排烟', '排污', '管煤', '380v', '可明火']","[['地铁7号线', 'A', '大华三路', '距离0.80km']]"
5500元/月,12.22元/m²/天,15m²,档口摊位,12个月,宝山区 -大华,家乐福(万里店),5500元/月,押3付2,12个月,物业类型,二手房,档口摊位-临街,空置中,餐饮美食-餐馆,1层/共5层,面宽3m、层高3.5m、进深5m,居民、学生、办公,暂无数据,"['网络', '暖气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁11号线', 'A', '上海西站', '距离1.09km']]"
3万/月,3.13元/m²/天,320m²,临街门面,36个月,宝山区 -友谊路,友谊路友谊支路,3万/月,押1付1,36个月,物业类型,二手房,临街门面-临街,经营中,餐饮美食-餐馆,1层/共1层,面宽15m、层高5m、进深20m,暂无数据,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁3号线', 'A', '友谊路', '距离1.26km']]"
3.2万/月,10.67元/m²/天,100m²,购物百货中心,暂无数据,宝山区 -共康,一二八纪念路968号,3.2万/月,押2付3,暂无数据,物业类型,二手房,购物百货中心-临街,空置中,暂无数据,1层/共1层,面宽8m、层高5.8m、进深12m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁1号线', 'A', '共康路', '距离0.54km']]"
3.2万/月,3元/m²/天,356m²,其他,36个月,宝山区 -共康,共康新路,3.2万/月,押2付1,36个月,物业类型,二手房,其他-临街,空置中,餐饮美食-餐馆,1层/共1层,面宽15.3m、层高5m、进深17.2m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁1号线', 'A', '共康路', '距离0.84km']]"
9000元/月,6.25元/m²/天,48m²,写字楼配套,24个月,宝山区 -通河新村,东宝兴路站-地下停车场,9000元/月,押2付2,24个月,物业类型,新房,写字楼配套-临街,空置中,餐饮美食-餐馆,1层/共1层,面宽5m、层高5m、进深8m,办公、居民、旅游,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁3号线', 'A', '东宝兴路', '距离0.03km']]"
3万/月,5元/m²/天,200m²,临街门面,12个月,宝山区 -刘行,苏家浜路388弄,3万/月,押2付2,12个月,物业类型,新房,临街门面-临街,空置中,暂无数据,1层/共1层,面宽8m、层高5m、进深15m,学生、居民,暂无数据,"['网络', '上水', '下水', '排烟', '管煤', '停车位', '380v']","[['地铁7号线', 'A', '顾村公园', '距离2.71km']]"
14.04万/月,1.3元/m²/天,3600m²,社区底商,1个月,宝山区 -罗店,月罗路2333弄,14.04万/月,押3付3,1个月,物业类型,二手房,社区底商-临街,空置中,酒店宾馆-宾馆酒店,1-5层/共5层,面宽35m、层高5m、进深22m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁7号线', 'A', '美兰湖', '距离1.05km']]"
3.78万/月,10.5元/m²/天,120m²,临街门面,36个月,宝山区 -通河新村,通河新村,3.78万/月,押3付3,36个月,物业类型,二手房,临街门面-临街,空置中,餐饮美食-餐馆,1层/共1层,面宽10m、层高5m、进深12m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '中央空调', '外摆区', '可明火']","[['地铁1号线', 'A', '通河新村', '距离0.00km']]"
1.2万/月,6.67元/m²/天,60m²,商业街店铺,24个月,宝山区 -顾村,顾村镇,1.2万/月,押2付2,24个月,物业类型,二手房,商业街店铺-临街,空置中,餐饮美食-餐馆,1层/共1层,面宽5m、层高5m、进深12m,办公、学生、居民,暂无数据,"['网络', '暖气', '天燃气', '上水', '下水', '排烟', '排污', '管煤', '停车位', '380v', '扶梯', '货梯', '客梯', '中央空调', '外摆区', '可明火']","[['地铁1号线', 'A', '宝安公路', '距离3.22km']]"
