公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
璞泰来,2018-12-31,2.84亿,4777万,1.13亿,1.23亿,33.1亿
璞泰来,2017-12-31,2.07亿,1864万,9903万,8927万,22.5亿
璞泰来,2016-12-31,2.03亿,-125万,7665万,1.27亿,16.8亿
ST沪科,2018-12-31,1178万,404万,117万,657万,10.0亿
ST沪科,2017-12-31,6092万,487万,802万,4803万,4.70亿
ST沪科,2016-12-31,3393万,669万,810万,1914万,2.63亿
飞凯材料,2018-12-31,2.45亿,2279万,9895万,1.23亿,14.5亿
飞凯材料,2017-12-31,1.87亿,1827万,6674万,1.02亿,8.20亿
飞凯材料,2016-12-31,1.18亿,645万,2375万,8810万,3.91亿
上海凯宝,2018-12-31,8.72亿,-1147万,7.74亿,1.10亿,15.0亿
上海凯宝,2017-12-31,8.80亿,-1292万,8.01亿,9229万,15.7亿
上海凯宝,2016-12-31,8.63亿,-2058万,7.47亿,1.36亿,15.0亿
上柴股份,2018-12-31,4.32亿,-6805万,2.66亿,2.34亿,41.2亿
上柴股份,2017-12-31,4.72亿,-1420万,2.90亿,1.96亿,36.7亿
上柴股份,2016-12-31,4.40亿,-5741万,1.79亿,3.19亿,25.5亿
锦江投资,2018-12-31,4.19亿,-1180万,1.83亿,2.48亿,24.4亿
锦江投资,2017-12-31,2.80亿,-930万,1.77亿,1.12亿,23.7亿
锦江投资,2016-12-31,2.98亿,-708万,1.79亿,1.26亿,23.6亿
康德莱,2018-12-31,2.22亿,-1637万,1.18亿,1.20亿,14.5亿
康德莱,2017-12-31,1.93亿,705万,9403万,9239万,12.6亿
康德莱,2016-12-31,2.24亿,882万,8279万,1.32亿,11.3亿
上海家化,2018-12-31,38.5亿,6091万,29.0亿,8.83亿,71.4亿
上海家化,2017-12-31,36.6亿,2983万,27.8亿,8.51亿,64.9亿
上海家化,2016-12-31,32.9亿,662万,25.0亿,7.77亿,59.6亿
爱婴室,2018-12-31,4.56亿,409万,3.89亿,6313万,21.4亿
爱婴室,2017-12-31,3.76亿,568万,3.07亿,6339万,18.1亿
爱婴室,2016-12-31,3.14亿,570万,2.53亿,5529万,15.8亿
华培动力,2018-12-31,8190万,-170万,2100万,6259万,5.13亿
华培动力,2017-12-31,6407万,168万,1257万,4981万,4.44亿
华培动力,2016-12-31,5113万,-10.3万,778万,4345万,3.28亿
浦东建设,2018-12-31,6023万,-1366万,599万,6790万,36.7亿
浦东建设,2017-12-31,7087万,-794万,829万,7052万,32.6亿
浦东建设,2016-12-31,1.68亿,2989万,344万,1.34亿,25.4亿
东风科技,2018-12-31,5.96亿,789万,1.80亿,4.09亿,66.7亿
东风科技,2017-12-31,5.87亿,904万,1.58亿,4.20亿,64.7亿
东风科技,2016-12-31,6.89亿,1587万,1.45亿,5.28亿,52.2亿
复旦复华,2018-12-31,4.53亿,332万,3.47亿,1.02亿,10.1亿
复旦复华,2017-12-31,2.31亿,376万,1.36亿,9084万,7.36亿
复旦复华,2016-12-31,1.83亿,805万,5333万,1.21亿,6.71亿
海得控制,2018-12-31,3.04亿,2181万,1.58亿,1.24亿,16.9亿
海得控制,2017-12-31,2.57亿,1620万,1.21亿,1.20亿,20.5亿
海得控制,2016-12-31,3.23亿,1426万,1.16亿,1.93亿,17.5亿
中国太保,2018-12-31,--,--,--,--,3544亿
中国太保,2017-12-31,--,--,--,--,3198亿
中国太保,2016-12-31,--,--,--,--,2670亿
上海贝岭,2018-12-31,2608万,-5238万,3073万,4773万,7.84亿
上海贝岭,2017-12-31,2360万,-4941万,2922万,4379万,5.62亿
上海贝岭,2016-12-31,7840万,-3654万,2437万,9057万,5.09亿
方正科技,2018-12-31,8.59亿,2.18亿,3.56亿,2.84亿,57.0亿
方正科技,2017-12-31,8.44亿,1.98亿,3.87亿,2.58亿,51.0亿
方正科技,2016-12-31,9.25亿,1.17亿,3.71亿,4.37亿,66.1亿
ST运盛,2018-12-31,6073万,-82.4万,1427万,4728万,2.07亿
ST运盛,2017-12-31,6166万,678万,946万,4542万,1.13亿
ST运盛,2016-12-31,9802万,1054万,1309万,7439万,9428万
吉祥航空,2018-12-31,12.9亿,2.73亿,5.98亿,4.16亿,144亿
吉祥航空,2017-12-31,11.8亿,2.69亿,5.32亿,3.84亿,124亿
吉祥航空,2016-12-31,9.53亿,1.80亿,4.61亿,3.12亿,99.3亿
日播时尚,2018-12-31,5.63亿,-58.0万,4.18亿,1.46亿,11.3亿
日播时尚,2017-12-31,4.68亿,417万,3.34亿,1.29亿,10.7亿
