公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
金种子酒,2018-12-31,3.78亿,-3487万,3.14亿,9935万,13.1亿
金种子酒,2017-12-31,4.55亿,-4206万,4.03亿,9371万,12.9亿
金种子酒,2016-12-31,5.65亿,-4717万,5.00亿,1.12亿,14.4亿
中环环保,2018-12-31,3248万,1507万,268万,1473万,3.90亿
中环环保,2017-12-31,2123万,716万,128万,1279万,2.33亿
中环环保,2016-12-31,3108万,1139万,87.5万,1882万,1.78亿
丰原药业,2018-12-31,9.78亿,3125万,8.08亿,1.39亿,30.1亿
丰原药业,2017-12-31,6.13亿,3132万,4.63亿,1.19亿,25.8亿
丰原药业,2016-12-31,4.54亿,2745万,2.65亿,1.61亿,20.3亿
*ST安凯,2018-12-31,4.13亿,7545万,2.11亿,1.27亿,31.5亿
*ST安凯,2017-12-31,5.07亿,7249万,2.79亿,1.56亿,54.5亿
*ST安凯,2016-12-31,8.31亿,5803万,4.39亿,3.33亿,47.6亿
国机通用,2018-12-31,5316万,-197万,1578万,3936万,5.96亿
国机通用,2017-12-31,6379万,655万,2000万,3725万,6.12亿
国机通用,2016-12-31,1.04亿,796万,2372万,7250万,6.69亿
口子窖,2018-12-31,5.08亿,-800万,3.36亿,1.79亿,42.7亿
口子窖,2017-12-31,4.90亿,-1017万,3.19亿,1.82亿,36.0亿
口子窖,2016-12-31,5.43亿,-534万,3.61亿,1.87亿,28.3亿
六国化工,2018-12-31,5.30亿,1.03亿,2.18亿,2.08亿,41.7亿
六国化工,2017-12-31,4.85亿,1.02亿,2.25亿,1.58亿,47.7亿
六国化工,2016-12-31,4.69亿,1.10亿,1.91亿,1.68亿,44.6亿
四创电子,2018-12-31,3.55亿,4560万,1.14亿,1.96亿,52.5亿
四创电子,2017-12-31,3.06亿,3270万,1.12亿,1.62亿,50.6亿
四创电子,2016-12-31,3.59亿,5162万,9814万,2.09亿,39.8亿
中鼎股份,2018-12-31,15.6亿,1793万,6.42亿,9.03亿,124亿
中鼎股份,2017-12-31,15.3亿,1.64亿,5.40亿,8.24亿,118亿
中鼎股份,2016-12-31,13.0亿,5896万,4.03亿,8.36亿,83.8亿
华菱精工,2018-12-31,8146万,147万,4039万,3960万,9.76亿
