公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
积成电子,2018-12-31,4.19亿,4149万,1.52亿,2.25亿,19.6亿
积成电子,2017-12-31,4.10亿,3891万,1.56亿,2.15亿,16.2亿
积成电子,2016-12-31,3.95亿,2150万,1.31亿,2.42亿,14.2亿
国美通讯,2018-12-31,3.68亿,7575万,1.99亿,9361万,26.4亿
国美通讯,2017-12-31,1.72亿,2999万,5659万,8537万,22.0亿
国美通讯,2016-12-31,1.32亿,975万,4796万,7452万,11.5亿
孚日股份,2018-12-31,4.72亿,1.38亿,1.68亿,1.66亿,51.7亿
孚日股份,2017-12-31,5.23亿,1.73亿,1.75亿,1.75亿,48.2亿
孚日股份,2016-12-31,4.56亿,1.10亿,1.71亿,1.75亿,43.7亿
英科医疗,2018-12-31,1.90亿,-834万,1.20亿,7892万,18.9亿
英科医疗,2017-12-31,1.98亿,3048万,1.07亿,6103万,17.5亿
英科医疗,2016-12-31,1.82亿,180万,9065万,8974万,11.8亿
新能泰山,2018-12-31,1.82亿,4094万,8347万,5776万,26.0亿
新能泰山,2017-12-31,5.43亿,1.68亿,5740万,3.18亿,27.4亿
新能泰山,2016-12-31,3.62亿,1.83亿,4306万,1.36亿,26.6亿
龙泉股份,2018-12-31,3.51亿,5513万,1.04亿,1.92亿,10.1亿
龙泉股份,2017-12-31,2.49亿,4126万,7182万,1.36亿,9.77亿
龙泉股份,2016-12-31,1.87亿,2987万,5325万,1.03亿,7.92亿
山东出版,2018-12-31,19.9亿,-2379万,8.79亿,11.4亿,93.5亿
山东出版,2017-12-31,17.6亿,-2394万,7.78亿,10.1亿,89.0亿
山东出版,2016-12-31,16.1亿,-2346万,6.95亿,9.39亿,80.3亿
兖州煤业,2018-12-31,152亿,33.9亿,60.0亿,57.7亿,1630亿
兖州煤业,2017-12-31,118亿,36.7亿,38.5亿,43.1亿,1512亿
兖州煤业,2016-12-31,84.5亿,22.2亿,25.8亿,36.5亿,1023亿
日照港,2018-12-31,4.55亿,2.72亿,--,1.83亿,51.3亿
日照港,2017-12-31,3.85亿,2.46亿,--,1.39亿,48.0亿
日照港,2016-12-31,3.43亿,2.14亿,--,1.28亿,42.8亿
景津环保,2018-12-31,4.71亿,-135万,3.44亿,1.28亿,29.2亿
景津环保,2017-12-31,3.61亿,111万,2.86亿,7418万,22.1亿
景津环保,2016-12-31,2.70亿,180万,1.97亿,7136万,15.4亿
好当家,2018-12-31,2.51亿,1.18亿,6856万,6415万,11.5亿
好当家,2017-12-31,3.05亿,9806万,1.38亿,6846万,12.1亿
好当家,2016-12-31,1.99亿,6842万,7202万,5881万,10.6亿
金晶科技,2018-12-31,6.00亿,2.05亿,1.23亿,2.72亿,51.2亿
金晶科技,2017-12-31,6.20亿,2.24亿,1.13亿,2.84亿,43.5亿
金晶科技,2016-12-31,6.13亿,1.95亿,1.33亿,2.85亿,33.6亿
新华制药,2018-12-31,9.49亿,3443万,6.55亿,2.60亿,52.1亿
新华制药,2017-12-31,8.13亿,7975万,5.10亿,2.24亿,45.2亿
新华制药,2016-12-31,7.92亿,5184万,4.04亿,3.36亿,40.1亿
华电国际,2018-12-31,71.9亿,53.2亿,--,18.7亿,884亿
华电国际,2017-12-31,67.2亿,50.4亿,--,16.8亿,790亿
华电国际,2016-12-31,66.3亿,49.1亿,--,17.2亿,633亿
山东钢铁,2018-12-31,19.9亿,6.01亿,3.70亿,10.2亿,559亿
山东钢铁,2017-12-31,13.9亿,4.25亿,2.98亿,6.64亿,479亿
山东钢铁,2016-12-31,21.1亿,6.57亿,3.31亿,11.3亿,501亿
朗源股份,2018-12-31,3121万,-132万,1453万,1800万,3.49亿
朗源股份,2017-12-31,4092万,598万,2041万,1452万,3.80亿
朗源股份,2016-12-31,4853万,1526万,1834万,1492万,5.89亿
江泉实业,2018-12-31,2485万,-26.8万,72.9万,2439万,2.45亿
江泉实业,2017-12-31,2285万,-9.51万,85.9万,2209万,2.52亿
江泉实业,2016-12-31,2203万,11.3万,98.7万,2093万,2.62亿
恒天海龙,2018-12-31,5291万,163万,2447万,2680万,7.07亿
恒天海龙,2017-12-31,5280万,690万,2016万,2575万,5.54亿
恒天海龙,2016-12-31,5218万,-313万,1944万,3586万,4.86亿
鲁信创投,2018-12-31,1.95亿,9283万,1510万,8752万,2.07亿
鲁信创投,2017-12-31,1.76亿,7234万,1415万,8911万,2.16亿
鲁信创投,2016-12-31,1.65亿,7449万,1209万,7890万,1.86亿
科达股份,2018-12-31,7.13亿,1432万,2.73亿,4.26亿,142亿
科达股份,2017-12-31,4.74亿,-1051万,1.88亿,2.96亿,94.7亿
科达股份,2016-12-31,4.11亿,1129万,1.42亿,2.57亿,70.3亿
山东墨龙,2018-12-31,4.97亿,2.04亿,1.14亿,1.79亿,44.5亿
山东墨龙,2017-12-31,3.30亿,1.31亿,6568万,1.33亿,29.7亿
山东墨龙,2016-12-31,2.61亿,5251万,5098万,1.57亿,15.3亿
宏创控股,2018-12-31,3101万,60.7万,455万,2585万,15.2亿
宏创控股,2017-12-31,1977万,233万,202万,1543万,14.5亿
宏创控股,2016-12-31,3548万,1028万,217万,2304万,9.77亿
仙坛股份,2018-12-31,5272万,-1011万,1605万,4678万,25.8亿
仙坛股份,2017-12-31,5300万,-919万,1745万,4474万,21.6亿
仙坛股份,2016-12-31,7054万,-82.8万,1742万,5394万,21.0亿
神思电子,2018-12-31,9673万,633万,5330万,3710万,4.05亿
神思电子,2017-12-31,6101万,14.9万,3413万,2673万,3.56亿
神思电子,2016-12-31,6887万,-268万,3158万,3997万,2.79亿
蔚蓝生物,2018-12-31,2.26亿,339万,1.42亿,8076万,8.14亿
蔚蓝生物,2017-12-31,2.35亿,432万,1.48亿,8301万,7.99亿
蔚蓝生物,2016-12-31,2.36亿,311万,1.49亿,8465万,7.81亿
特锐德,2018-12-31,10.7亿,2.64亿,4.43亿,3.64亿,59.0亿
