公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
寒锐钴业,2018-12-31,1.85亿,7932万,2140万,8446万,27.8亿
寒锐钴业,2017-12-31,7209万,1481万,1037万,4691万,14.6亿
寒锐钴业,2016-12-31,7776万,2318万,793万,4665万,7.43亿
ST慧业,2018-12-31,3.00亿,1501万,8541万,2.00亿,15.3亿
ST慧业,2017-12-31,3.59亿,5861万,1.09亿,1.92亿,17.4亿
ST慧业,2016-12-31,3.81亿,1444万,1.38亿,2.28亿,18.3亿
中来股份,2018-12-31,2.81亿,6530万,8203万,1.34亿,26.9亿
中来股份,2017-12-31,3.39亿,1.10亿,7723万,1.51亿,32.4亿
中来股份,2016-12-31,1.86亿,4164万,2618万,1.19亿,13.9亿
长海股份,2018-12-31,1.87亿,-1477万,1.14亿,8761万,22.0亿
长海股份,2017-12-31,2.18亿,2966万,1.03亿,8549万,20.3亿
长海股份,2016-12-31,2.35亿,427万,9287万,1.38亿,17.7亿
展鹏科技,2018-12-31,3699万,-93.0万,1654万,2137万,3.14亿
展鹏科技,2017-12-31,3279万,-70.5万,1458万,1892万,2.79亿
展鹏科技,2016-12-31,4258万,-31.8万,1548万,2742万,2.82亿
中核科技,2018-12-31,1.97亿,249万,9326万,1.01亿,12.3亿
中核科技,2017-12-31,1.46亿,679万,6792万,7104万,8.74亿
中核科技,2016-12-31,1.82亿,-171万,6676万,1.17亿,9.67亿
徐工机械,2018-12-31,30.4亿,-1827万,22.7亿,7.83亿,444亿
徐工机械,2017-12-31,26.6亿,3.18亿,16.5亿,6.90亿,291亿
徐工机械,2016-12-31,26.8亿,-5483万,12.8亿,14.5亿,169亿
四方科技,2018-12-31,5937万,-3461万,3906万,5492万,12.3亿
四方科技,2017-12-31,8972万,882万,2729万,5361万,10.1亿
四方科技,2016-12-31,7070万,-1148万,2478万,5741万,6.76亿
金财互联,2018-12-31,2.07亿,613万,5762万,1.43亿,12.6亿
金财互联,2017-12-31,1.31亿,-697万,3949万,9801万,9.98亿
金财互联,2016-12-31,1.04亿,122万,2380万,7923万,4.84亿
纽威股份,2018-12-31,4.44亿,2811万,2.86亿,1.31亿,27.8亿
纽威股份,2017-12-31,3.83亿,1618万,2.39亿,1.27亿,24.0亿
