公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
恒大高新,2018-12-31,7808万,291万,1611万,5906万,3.35亿
恒大高新,2017-12-31,8972万,76.5万,1804万,7091万,2.59亿
恒大高新,2016-12-31,7673万,352万,2120万,5201万,1.48亿
安源煤业,2018-12-31,4.40亿,2.24亿,6303万,1.53亿,50.5亿
安源煤业,2017-12-31,4.65亿,2.05亿,8267万,1.77亿,41.3亿
安源煤业,2016-12-31,4.81亿,1.83亿,1.14亿,1.84亿,32.6亿
国泰集团,2018-12-31,2.22亿,1440万,8587万,1.22亿,8.68亿
国泰集团,2017-12-31,1.59亿,140万,5108万,1.07亿,5.65亿
国泰集团,2016-12-31,1.50亿,460万,3899万,1.07亿,4.72亿
洪城水业,2018-12-31,5.18亿,1.34亿,1.72亿,2.13亿,43.8亿
洪城水业,2017-12-31,4.23亿,8742万,1.48亿,1.87亿,35.4亿
洪城水业,2016-12-31,4.36亿,1.01亿,1.23亿,2.12亿,30.9亿
煌上煌,2018-12-31,3.75亿,-664万,2.40亿,1.41亿,19.0亿
煌上煌,2017-12-31,2.79亿,-264万,1.77亿,1.05亿,14.8亿
煌上煌,2016-12-31,2.69亿,-251万,1.51亿,1.21亿,12.2亿
万年青,2018-12-31,8.10亿,7233万,2.77亿,4.60亿,102亿
万年青,2017-12-31,7.27亿,1.24亿,2.77亿,3.26亿,70.9亿
万年青,2016-12-31,6.91亿,1.54亿,2.39亿,2.98亿,56.6亿
黑猫股份,2018-12-31,6.55亿,6804万,3.45亿,2.42亿,78.9亿
黑猫股份,2017-12-31,6.64亿,1.28亿,3.46亿,1.90亿,69.5亿
黑猫股份,2016-12-31,6.24亿,1.25亿,3.15亿,1.85亿,43.8亿
三川智慧,2018-12-31,1.03亿,-1139万,7375万,4084万,6.87亿
三川智慧,2017-12-31,1.10亿,-772万,7455万,4328万,6.10亿
三川智慧,2016-12-31,1.34亿,-1231万,7452万,7146万,6.95亿
方大特钢,2018-12-31,16.9亿,-7863万,1.18亿,16.6亿,173亿
方大特钢,2017-12-31,9.60亿,2493万,1.21亿,8.14亿,139亿
方大特钢,2016-12-31,7.80亿,9121万,1.03亿,5.86亿,89.2亿
富祥股份,2018-12-31,1.26亿,1031万,2530万,8995万,11.6亿
富祥股份,2017-12-31,1.26亿,2241万,1828万,8518万,9.58亿
富祥股份,2016-12-31,1.32亿,-224万,1832万,1.16亿,7.64亿
联创电子,2018-12-31,2.30亿,8674万,2879万,1.15亿,48.0亿
联创电子,2017-12-31,1.85亿,6381万,2537万,9532万,50.5亿
联创电子,2016-12-31,2.41亿,3074万,1996万,1.90亿,29.7亿
赣粤高速,2018-12-31,8.29亿,6.08亿,3119万,1.90亿,45.1亿
赣粤高速,2017-12-31,8.24亿,6.36亿,2936万,1.59亿,43.3亿
赣粤高速,2016-12-31,8.77亿,6.58亿,2878万,1.90亿,45.5亿
江铃汽车,2018-12-31,18.4亿,-1.64亿,12.0亿,7.97亿,282亿
江铃汽车,2017-12-31,31.6亿,-2.44亿,26.9亿,7.08亿,313亿
江铃汽车,2016-12-31,42.3亿,-1.95亿,19.6亿,24.6亿,266亿
新钢股份,2018-12-31,7.53亿,1.47亿,2.94亿,3.12亿,570亿
新钢股份,2017-12-31,7.98亿,2.96亿,2.69亿,2.33亿,500亿
新钢股份,2016-12-31,12.2亿,4.76亿,2.82亿,4.64亿,305亿
同和药业,2018-12-31,3850万,-20.8万,1136万,2735万,2.67亿
同和药业,2017-12-31,2702万,270万,947万,1485万,2.97亿
同和药业,2016-12-31,3641万,35.5万,1041万,2564万,2.50亿
诚志股份,2018-12-31,7.58亿,1.53亿,1.16亿,4.89亿,58.7亿
诚志股份,2017-12-31,7.09亿,1.32亿,1.03亿,4.75亿,56.9亿
诚志股份,2016-12-31,4.19亿,6481万,4250万,3.12亿,25.7亿
博雅生物,2018-12-31,8.92亿,764万,7.54亿,1.29亿,24.5亿
博雅生物,2017-12-31,4.95亿,-900万,3.78亿,1.27亿,14.6亿
博雅生物,2016-12-31,2.60亿,-989万,1.13亿,1.56亿,9.47亿
ST昌九,2018-12-31,4641万,205万,1972万,2464万,5.28亿
ST昌九,2017-12-31,5933万,788万,1975万,3170万,5.53亿
ST昌九,2016-12-31,6122万,939万,1847万,3337万,4.34亿
新余国科,2018-12-31,3701万,-13.5万,1019万,2695万,2.14亿
新余国科,2017-12-31,3460万,-13.0万,1044万,2429万,2.00亿
新余国科,2016-12-31,4461万,102万,1019万,3340万,1.82亿
九鼎投资,2018-12-31,5.51亿,7264万,1666万,4.62亿,8.15亿
九鼎投资,2017-12-31,4.85亿,4791万,1992万,4.18亿,7.56亿
九鼎投资,2016-12-31,7.13亿,5769万,1773万,6.38亿,16.4亿
章源钨业,2018-12-31,2.06亿,7490万,3202万,9952万,18.7亿
章源钨业,2017-12-31,1.94亿,5966万,3299万,1.01亿,18.3亿
章源钨业,2016-12-31,1.84亿,3967万,3022万,1.14亿,13.1亿
正邦科技,2018-12-31,17.5亿,3.29亿,7.36亿,6.83亿,221亿
正邦科技,2017-12-31,16.1亿,1.94亿,6.68亿,7.51亿,206亿
正邦科技,2016-12-31,15.8亿,2.04亿,6.80亿,6.94亿,189亿
洪都航空,2018-12-31,1.86亿,6198万,2597万,9833万,24.2亿
洪都航空,2017-12-31,2.25亿,6684万,2039万,1.38亿,25.3亿
洪都航空,2016-12-31,2.52亿,4329万,2247万,1.87亿,36.8亿
世龙实业,2018-12-31,1.47亿,426万,4818万,9495万,14.8亿
世龙实业,2017-12-31,1.22亿,428万,4191万,7606万,12.0亿
世龙实业,2016-12-31,1.00亿,-116万,3179万,6951万,10.0亿
仁和药业,2018-12-31,10.3亿,-3156万,7.78亿,2.86亿,44.0亿
仁和药业,2017-12-31,8.85亿,-1487万,6.19亿,2.81亿,38.4亿
仁和药业,2016-12-31,7.37亿,-67.0万,4.87亿,2.50亿,35.7亿
中文传媒,2018-12-31,18.0亿,-6053万,6.78亿,11.8亿,115亿
中文传媒,2017-12-31,21.7亿,1754万,10.9亿,10.7亿,133亿
中文传媒,2016-12-31,35.0亿,-6777万,19.1亿,16.5亿,128亿
金力永磁,2018-12-31,1.08亿,3050万,2491万,5284万,12.9亿
金力永磁,2017-12-31,7456万,2031万,1577万,3847万,9.12亿
