公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
大胜达,2018-12-31,1.04亿,662万,4857万,4908万,12.9亿
大胜达,2017-12-31,9046万,-112万,4475万,4683万,12.1亿
大胜达,2016-12-31,8804万,-83.1万,4513万,4374万,10.8亿
中金环境,2018-12-31,8.53亿,1.22亿,4.09亿,3.23亿,43.6亿
中金环境,2017-12-31,7.02亿,8426万,3.25亿,2.93亿,38.1亿
中金环境,2016-12-31,5.92亿,3949万,2.66亿,2.86亿,27.9亿
ST围海,2018-12-31,2.48亿,1.08亿,636万,1.34亿,35.4亿
ST围海,2017-12-31,1.63亿,7050万,--,9254万,28.7亿
ST围海,2016-12-31,1.40亿,5506万,--,8465万,21.9亿
大立科技,2018-12-31,1.07亿,1397万,4230万,5096万,4.24亿
大立科技,2017-12-31,9680万,1043万,4344万,4294万,3.02亿
大立科技,2016-12-31,1.79亿,1213万,4149万,1.25亿,3.39亿
福达合金,2018-12-31,1.04亿,3028万,1184万,6156万,13.3亿
福达合金,2017-12-31,8086万,2541万,939万,4606万,12.5亿
福达合金,2016-12-31,9788万,1556万,790万,7441万,10.4亿
物产中大,2018-12-31,54.4亿,12.5亿,21.3亿,20.6亿,3005亿
物产中大,2017-12-31,50.5亿,11.2亿,20.8亿,18.6亿,2766亿
物产中大,2016-12-31,45.3亿,6.76亿,20.4亿,18.1亿,2072亿
腾达建设,2018-12-31,2.91亿,1.62亿,977万,1.20亿,35.1亿
腾达建设,2017-12-31,1.81亿,6082万,1424万,1.06亿,35.9亿
腾达建设,2016-12-31,1.93亿,8198万,887万,1.02亿,30.7亿
香飘飘,2018-12-31,9.20亿,-1011万,8.00亿,1.30亿,32.5亿
香飘飘,2017-12-31,7.10亿,-761万,6.17亿,1.00亿,26.4亿
香飘飘,2016-12-31,7.47亿,-1320万,6.76亿,8455万,23.9亿
永高股份,2018-12-31,6.96亿,2273万,3.60亿,3.14亿,53.5亿
永高股份,2017-12-31,6.37亿,1221万,3.38亿,2.86亿,45.7亿
永高股份,2016-12-31,7.40亿,2110万,3.02亿,4.17亿,37.7亿
东尼电子,2018-12-31,1.33亿,2219万,3767万,7267万,8.72亿
东尼电子,2017-12-31,6897万,1200万,2069万,3628万,7.26亿
东尼电子,2016-12-31,4581万,422万,634万,3524万,3.32亿
*ST中捷,2018-12-31,1.90亿,2334万,6836万,9837万,11.4亿
*ST中捷,2017-12-31,2.14亿,4573万,5986万,1.09亿,10.0亿
*ST中捷,2016-12-31,1.96亿,1795万,4134万,1.37亿,6.44亿
洁美科技,2018-12-31,9647万,-2030万,5172万,6505万,13.1亿
洁美科技,2017-12-31,1.27亿,2314万,4299万,6067万,9.96亿
洁美科技,2016-12-31,1.25亿,22.3万,3424万,9096万,7.53亿
星帅尔,2018-12-31,3131万,-486万,860万,2758万,4.09亿
星帅尔,2017-12-31,3173万,-221万,760万,2634万,3.55亿
星帅尔,2016-12-31,3677万,49.9万,569万,3058万,2.94亿
初灵信息,2018-12-31,1.28亿,-437万,6440万,6758万,4.20亿
初灵信息,2017-12-31,1.14亿,-622万,5834万,6218万,4.50亿
初灵信息,2016-12-31,1.80亿,-393万,6613万,1.17亿,4.51亿
永艺股份,2018-12-31,1.71亿,-1102万,9296万,8861万,24.1亿
永艺股份,2017-12-31,1.61亿,1153万,6390万,8543万,18.4亿
永艺股份,2016-12-31,1.47亿,-1514万,4690万,1.15亿,14.0亿
亚太药业,2018-12-31,2.62亿,1155万,1.57亿,9396万,13.1亿
亚太药业,2017-12-31,1.96亿,-541万,1.28亿,7298万,10.8亿
亚太药业,2016-12-31,1.80亿,1984万,6642万,9361万,8.63亿
横店影视,2018-12-31,1.29亿,246万,6467万,6233万,27.2亿
横店影视,2017-12-31,1.31亿,713万,6888万,5531万,25.2亿
横店影视,2016-12-31,1.10亿,874万,4361万,5769万,22.8亿
祥源文化,2018-12-31,1.21亿,-479万,2150万,1.04亿,7.21亿
祥源文化,2017-12-31,1.09亿,-37.3万,2547万,8343万,7.92亿
祥源文化,2016-12-31,1.44亿,-18.4万,3151万,1.13亿,7.17亿
中大力德,2018-12-31,7880万,516万,3477万,3886万,5.99亿
中大力德,2017-12-31,6537万,737万,2788万,3012万,4.98亿
中大力德,2016-12-31,6949万,696万,2490万,3762万,3.70亿
慈星股份,2018-12-31,4.12亿,484万,2.09亿,1.98亿,16.9亿
慈星股份,2017-12-31,3.14亿,1466万,1.39亿,1.60亿,14.0亿
慈星股份,2016-12-31,2.46亿,-4883万,1.36亿,1.59亿,11.0亿
聚光科技,2018-12-31,8.67亿,8742万,5.60亿,2.19亿,38.2亿
聚光科技,2017-12-31,6.48亿,6004万,4.12亿,1.76亿,28.0亿
聚光科技,2016-12-31,6.88亿,2330万,3.25亿,3.40亿,23.5亿
新坐标,2018-12-31,5233万,2.28万,1274万,3957万,3.01亿
新坐标,2017-12-31,3635万,-104万,1355万,2384万,2.71亿
新坐标,2016-12-31,3673万,-48.7万,875万,2847万,1.58亿
民丰特纸,2018-12-31,1.58亿,3167万,5430万,7184万,15.2亿
民丰特纸,2017-12-31,1.79亿,3527万,5598万,8745万,16.1亿
民丰特纸,2016-12-31,2.39亿,4676万,5580万,1.37亿,14.7亿
杭氧股份,2018-12-31,6.67亿,9462万,1.23亿,4.50亿,79.0亿
杭氧股份,2017-12-31,6.32亿,1.28亿,1.19亿,3.85亿,64.5亿
杭氧股份,2016-12-31,7.51亿,1.55亿,1.01亿,4.96亿,49.4亿
日发精机,2018-12-31,4.09亿,4753万,1.28亿,2.34亿,19.7亿
日发精机,2017-12-31,3.67亿,5110万,1.04亿,2.12亿,15.5亿
日发精机,2016-12-31,2.21亿,-259万,1.02亿,1.22亿,7.84亿
浙数文化,2018-12-31,6.94亿,-666万,3.87亿,3.14亿,19.1亿
浙数文化,2017-12-31,5.26亿,-2943万,2.64亿,2.91亿,16.3亿
浙数文化,2016-12-31,8.37亿,-4200万,3.51亿,5.29亿,35.5亿
壹网壹创,2018-12-31,2.22亿,-82.2万,1.90亿,3239万,10.1亿
壹网壹创,2017-12-31,1.48亿,-50.9万,1.22亿,2637万,7.04亿
壹网壹创,2016-12-31,1.35亿,-15.3万,1.06亿,2950万,5.07亿
精功科技,2018-12-31,1.31亿,780万,4291万,8053万,10.0亿
精功科技,2017-12-31,1.07亿,589万,3661万,6482万,9.50亿
精功科技,2016-12-31,1.28亿,714万,2730万,9391万,6.98亿
宝鼎科技,2018-12-31,4490万,450万,469万,3571万,3.11亿
宝鼎科技,2017-12-31,5228万,770万,585万,3873万,2.39亿
宝鼎科技,2016-12-31,6904万,1092万,461万,5351万,1.80亿
阳光照明,2018-12-31,6.35亿,-3647万,3.00亿,3.72亿,56.2亿
阳光照明,2017-12-31,5.51亿,5907万,2.31亿,2.60亿,50.4亿
阳光照明,2016-12-31,5.95亿,-1.00亿,1.44亿,5.50亿,43.9亿
生 意 宝,2018-12-31,6858万,-1910万,6800万,1968万,4.27亿
生 意 宝,2017-12-31,7186万,-1380万,6239万,2327万,3.62亿
生 意 宝,2016-12-31,8385万,-908万,5452万,3841万,3.24亿
永兴材料,2018-12-31,1.38亿,1663万,4462万,7721万,47.9亿
永兴材料,2017-12-31,1.22亿,218万,4254万,7754万,40.3亿
