公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
万里石,2018-12-31,1.57亿,2026万,7031万,6609万,11.5亿
万里石,2017-12-31,1.47亿,2314万,6441万,5936万,9.23亿
万里石,2016-12-31,1.34亿,1435万,6457万,5532万,8.73亿
实达集团,2018-12-31,3.04亿,1.08亿,4457万,1.51亿,67.6亿
实达集团,2017-12-31,3.77亿,7055万,3409万,2.73亿,64.7亿
实达集团,2016-12-31,1.83亿,2713万,1729万,1.39亿,42.3亿
博思软件,2018-12-31,1.70亿,8.65万,8551万,8402万,5.59亿
博思软件,2017-12-31,1.00亿,-129万,5521万,4644万,3.10亿
博思软件,2016-12-31,7797万,-74.2万,2782万,5089万,1.71亿
紫光学大,2018-12-31,6.70亿,7906万,2.29亿,3.62亿,28.9亿
紫光学大,2017-12-31,7.00亿,8353万,2.48亿,3.69亿,28.1亿
紫光学大,2016-12-31,4.24亿,5315万,1.21亿,2.50亿,13.1亿
瑞达期货,2018-12-31,--,--,--,--,4.71亿
瑞达期货,2017-12-31,--,--,--,--,5.13亿
瑞达期货,2016-12-31,--,--,--,--,4.64亿
青松股份,2018-12-31,5302万,-472万,2573万,3201万,14.2亿
青松股份,2017-12-31,7215万,696万,2655万,3864万,8.11亿
青松股份,2016-12-31,6993万,-497万,2692万,4799万,5.57亿
乾照光电,2018-12-31,1.91亿,2666万,1813万,1.46亿,10.3亿
乾照光电,2017-12-31,1.26亿,1141万,1948万,9498万,11.3亿
乾照光电,2016-12-31,1.52亿,790万,1931万,1.24亿,11.5亿
恺英网络,2018-12-31,6.82亿,965万,5.19亿,1.54亿,22.8亿
恺英网络,2017-12-31,8.18亿,-1057万,7.57亿,7117万,31.3亿
恺英网络,2016-12-31,10.6亿,-1888万,7.99亿,2.84亿,27.2亿
合力泰,2018-12-31,12.6亿,4.56亿,1.64亿,6.43亿,169亿
合力泰,2017-12-31,8.16亿,1.77亿,1.45亿,4.94亿,151亿
合力泰,2016-12-31,9.86亿,1.82亿,1.04亿,6.99亿,118亿
傲农生物,2018-12-31,6.26亿,7037万,4.03亿,1.53亿,57.6亿
傲农生物,2017-12-31,6.57亿,4027万,4.51亿,1.65亿,49.0亿
傲农生物,2016-12-31,7.45亿,2544万,4.65亿,2.54亿,49.8亿
日上集团,2018-12-31,2.23亿,3277万,1.35亿,5562万,29.0亿
日上集团,2017-12-31,1.99亿,6169万,8957万,4811万,19.9亿
日上集团,2016-12-31,1.47亿,2926万,6907万,4851万,14.1亿
新 大 陆,2018-12-31,6.67亿,1047万,2.19亿,4.38亿,59.5亿
新 大 陆,2017-12-31,5.08亿,1068万,1.96亿,3.01亿,49.2亿
新 大 陆,2016-12-31,6.62亿,771万,1.68亿,4.86亿,35.4亿
吉宏股份,2018-12-31,6.82亿,2267万,6.00亿,5922万,22.7亿
吉宏股份,2017-12-31,2.12亿,1324万,1.59亿,4011万,11.3亿
吉宏股份,2016-12-31,6838万,926万,2923万,2990万,5.70亿
星网锐捷,2018-12-31,14.3亿,-1500万,12.2亿,2.26亿,91.3亿
星网锐捷,2017-12-31,15.0亿,1181万,12.7亿,2.21亿,77.1亿
星网锐捷,2016-12-31,20.3亿,-1597万,10.9亿,9.57亿,56.9亿
三维丝,2018-12-31,1.87亿,3555万,5811万,9329万,7.86亿
三维丝,2017-12-31,2.01亿,5440万,6233万,8450万,13.1亿
三维丝,2016-12-31,2.00亿,1743万,6306万,1.20亿,9.48亿
吉比特,2018-12-31,2.32亿,-2401万,1.34亿,1.23亿,16.5亿
吉比特,2017-12-31,2.55亿,-835万,1.61亿,1.03亿,14.4亿
吉比特,2016-12-31,4.20亿,-1971万,1.62亿,2.77亿,13.1亿
顶点软件,2018-12-31,7222万,-516万,3277万,4461万,2.96亿
顶点软件,2017-12-31,5993万,-461万,2920万,3534万,2.44亿
顶点软件,2016-12-31,9109万,-548万,2733万,6925万,2.05亿
法拉电子,2018-12-31,1.27亿,-1618万,3925万,1.04亿,17.2亿
法拉电子,2017-12-31,1.44亿,941万,3801万,9613万,17.0亿
法拉电子,2016-12-31,1.65亿,-2494万,2964万,1.60亿,15.2亿
艾德生物,2018-12-31,1.92亿,-518万,1.72亿,2576万,4.39亿
艾德生物,2017-12-31,1.59亿,368万,1.30亿,2589万,3.30亿
艾德生物,2016-12-31,1.75亿,-382万,1.08亿,7026万,2.53亿
榕基软件,2018-12-31,1.92亿,1845万,4871万,1.25亿,8.12亿
榕基软件,2017-12-31,1.73亿,1037万,4234万,1.20亿,7.42亿
